Lang Group	Locale	Code	~LPop (M)	Target	Feature	Scope	Categories
Afro-Asiatic	Amharic	am	14	nominal	grammaticalDefiniteness	general	definite indefinite
Afro-Asiatic	Amharic	am	14	nominal	grammaticalDefiniteness	units	🟰general scope
Afro-Asiatic	Arabic	ar	270	nominal	grammaticalCase	general	accusative genitive nominative
Afro-Asiatic	Arabic	ar	270	nominal	grammaticalCase	units	None
Afro-Asiatic	Arabic	ar	270	nominal	grammaticalDefiniteness	general	construct definite indefinite
Afro-Asiatic	Arabic	ar	270	nominal	grammaticalDefiniteness	units	🟰general scope
Afro-Asiatic	Arabic	ar	270	nominal	grammaticalGender	general	feminine masculine
Afro-Asiatic	Arabic	ar	270	nominal	grammaticalGender	units	🟰general scope
Afro-Asiatic	Hausa	ha	22	Unavailable			
Afro-Asiatic	Hebrew	he	8.4	nominal	grammaticalDefiniteness	general	construct definite indefinite
Afro-Asiatic	Hebrew	he	8.4	nominal	grammaticalDefiniteness	units	🟰general scope
Afro-Asiatic	Hebrew	he	8.4	nominal	grammaticalGender	general	feminine masculine
Afro-Asiatic	Hebrew	he	8.4	nominal	grammaticalGender	units	🟰general scope
Afro-Asiatic	Somali	so	7.0	Unavailable			
Austro-Asiatic	Khmer	km	11	Unavailable			
Austro-Asiatic	Vietnamese	vi	81	nominal	None		
Niger-Kordofanian	Igbo	ig	17	Unavailable			
Niger-Kordofanian	Swahili	sw	120	Unavailable			
Niger-Kordofanian	Yoruba	yo	17	Unavailable			
Niger-Kordofanian	Zulu	zu	7.1	Unavailable			
Other	Basque	eu	1.1	Unavailable			
Other	Mongolian	mn	6.3	Unavailable			
Other	Nigerian Pidgin	pcm	28	Unavailable			
