# Section	Page	Header	Code	Locale	Old	New	Level
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	aa	¤#,##0.00	¤ #,##0.00	moderate
Locale Display Names	Territories (Oceania)	Polynesia-Subdivisions	tvfun	ha_NE	▷missing◁	Funafuti	modern
Locale Display Names	Territories (Oceania)	Polynesia-Subdivisions	wfsg	ha_NE	▷missing◁	Sigave	modern
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	he	‫‏#,##0.00 ‏¤;‏-#,##0.00 ‏¤‬	¤ #,##0.00	moderate
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-noCurrency	he	#,##0.00	‫‏#,##0.00‏;‏-#,##0.00‏‬	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Months - wide - Formatting	Oct	hi	अक्तूबर	अक्टूबर	basic
Date & Time	Gregorian	Months - abbreviated - Formatting	Oct	hi	अक्तू॰	अक्टू॰	moderate
Date & Time	Indian	Formats - Intervals - Date Formats	GyM/M	hi	GGGGG M/y – M/	GGGGG M/y – M/y	comprehensive
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	hr	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	hsb	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Main Letters	ht	…[cqux\u00E0\u00E2\u00E6\u00E7\u00E9-\u00EB\u00EE\u00EF\u00F4\u00F9\u00FB\u00FC\u00FF\u0153]…	…[\u00F2{an}{ch}{en}{ng}{on}{ou}{oun}{ui}]…	core
Core Data	Alphabetic Information	Characters in Use	Others: auxiliary	ht	[ßáã-åìíñ-óõöøúāćēīĳřšſǔ]	[x]	core
Core Data	Alphabetic Information	Characters in Use	Others: punctuation	ht	…[*\u00AB\u00BB\u2010\u2013\u2014\u2020\u2021]…	…[%'\u2018\u2032\u2033]…	core
Locale Display Names	Languages (E-J)	H	Haitian Creole ► ht	ht	créole haïtien	Kreyòl Ayisyen	basic
Numbers	Symbols	Symbols 	group	ht	 	 	basic
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	hu	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	hy	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	ie	¤ #,##0.00;¤ -#,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	is	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	it	#,##0.00 ¤	¤ #,##0.00	moderate
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	it_CH	¤ #,##0.00;¤-#,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Special	Suppress	Buddhist	Formats - Standard - Date Formats-full	ja	GGGGyMEEEEd	GGGGyMMMEEEEd	comprehensive
Special	Suppress	Buddhist	Formats - Standard - Date Formats-long	ja	GGGGyMd	GGGGyMMMd	comprehensive
Special	Suppress	Generic	Formats - Standard - Date Formats-full	ja	GyMEEEEd	GyMMMEEEEd	comprehensive
Special	Suppress	Generic	Formats - Standard - Date Formats-long	ja	GyMd	GyMMMd	comprehensive
Special	Suppress	Gregorian	Formats - Standard - Date Formats-full	ja	yMEEEEd	yMMMEEEEd	comprehensive
Special	Suppress	Gregorian	Formats - Standard - Date Formats-long	ja	yMd	yMMMd	comprehensive
Special	Suppress	Japanese	Formats - Standard - Date Formats-medium	ja	GyMd	GyMMMd	comprehensive
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	ka	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	kea	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	kk	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	kl	¤#,##0.00;¤-#,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Special	Suppress	Generic	Formats - Standard - Date Formats-full	ko	GyMEEEEd	GyMMMEEEEd	comprehensive
Special	Suppress	Generic	Formats - Standard - Date Formats-long	ko	GyMd	GyMMMd	comprehensive
Special	Suppress	Gregorian	Formats - Standard - Date Formats-full	ko	yMEEEEd	yMMMMEEEEd	comprehensive
Special	Suppress	Gregorian	Formats - Standard - Date Formats-long	ko	yMd	yMMMMd	comprehensive
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	kok_Latn	¤#,##,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	ksf	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	ksh	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	ku	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	kxv	¤#,##,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	kxv_Deva	¤#,##,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	kxv_Orya	¤#,##,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	kxv_Telu	¤#,##,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	ky	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Languages (A-D)	B	Bihari ► bh	la	Bihari	▷removed◁	comprehensive
Locale Display Names	Languages (E-J)	H	Hebrew ► he	la	▷missing◁	Hebraica	modern
Locale Display Names	Languages (E-J)	H	Hebrew ► iw	la	Hebraica	▷removed◁	comprehensive
Locale Display Names	Languages (E-J)	I	Indonesian ► id	la	▷missing◁	Indonesia	moderate
Locale Display Names	Languages (E-J)	I	Indonesian ► in	la	Indonesia	▷removed◁	comprehensive
Locale Display Names	Languages (T-Z)	Y	Yiddish ► ji	la	Iudaeogermanica	▷removed◁	comprehensive
Locale Display Names	Languages (T-Z)	Y	Yiddish ► yi	la	▷missing◁	Iudaeogermanica	comprehensive
Locale Display Names	Territories (Europe)	Western Europe	DD	la	Res publica Democratica Germanica	▷removed◁	comprehensive
Locale Display Names	Territories (Europe)	Southern Europe	YU	la	Iugoslavia	▷removed◁	comprehensive
Locale Display Names	Territories (Asia)	Southeast Asia	BU	la	Birmania	▷removed◁	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	lb	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	lij	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	lld	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	ln	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	lt	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	luy	¤#,##0.00;¤- #,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	lv	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	mk	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	mn_Mong_MN	¤#,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	ms_Arab	¤#,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	my	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	nds	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	ne	¤ #,##,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Languages (O-S)	S	South Levantine Arabic ► ajp	nl	Zuid-Levantijns-Arabisch	▷removed◁	comprehensive
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	nl	¤ #,##0.00;¤ -#,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	nmg	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	no	#,##0.00 ¤;-#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	nr	¤#,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	oc	#,##0.00¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	pa	¤#,##,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	pl	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	prg	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	pt_PT	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	rif	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	rm	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	ro	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Timezones	South America	Cities and Regions	Noronha	root	Noronha	Fernando de Noronha	moderate
Timezones	Antarctica	Cities and Regions	DumontDUrville	root	Dumont d’Urville	Dumont-d’Urville	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	ru	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	sah	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	sc	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	se	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	sg	¤#,##0.00;¤-#,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	sid	¤#,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	sk	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	sl	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	smn	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	sq	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	sr	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Territories (North America)	Central America-Subdivisions	gt17	sr_Latn	▷missing◁	Peten (departman)	modern
Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	mamar	sr_Latn	▷missing◁	Marakeš	modern
Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	mammd	sr_Latn	Marakeš	▷removed◁	modern
Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	tn21	sr_Latn	▷missing◁	Vilajet Nabeul	modern
Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	tz11	sr_Latn	▷missing◁	Zanzibar centar/jug	modern
Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	tz15	sr_Latn	▷missing◁	Zanzibar grad/zapad	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	ee44	sr_Latn	Ida-Viru	▷removed◁	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	ee45	sr_Latn	▷missing◁	Ida-Viru	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	ee49	sr_Latn	Jigeva	▷removed◁	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	ee50	sr_Latn	▷missing◁	Jigeva	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	ee51	sr_Latn	Harva	▷removed◁	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	ee52	sr_Latn	▷missing◁	Harva	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	ee56	sr_Latn	▷missing◁	Lanema	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	ee57	sr_Latn	Lanema	▷removed◁	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	ee59	sr_Latn	Ljaene-Viru	▷removed◁	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	ee60	sr_Latn	▷missing◁	Ljaene-Viru	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	ee64	sr_Latn	▷missing◁	Pilva	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	ee65	sr_Latn	Pilva	▷removed◁	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	ee67	sr_Latn	Parnuma	▷removed◁	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	ee68	sr_Latn	▷missing◁	Parnuma	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	ee70	sr_Latn	Rapla	▷removed◁	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	ee71	sr_Latn	▷missing◁	Rapla	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	ee78	sr_Latn	Tartu	▷removed◁	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	ee79	sr_Latn	▷missing◁	Tartu	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	ee81	sr_Latn	▷missing◁	Valga	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	ee82	sr_Latn	Valga	▷removed◁	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	ee86	sr_Latn	Viru	▷removed◁	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	ee87	sr_Latn	▷missing◁	Viru	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	ee321	sr_Latn	▷missing◁	Kohtla-Jarve	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	ee735	sr_Latn	▷missing◁	Siljamae	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	ishaf	sr_Latn	▷missing◁	Habnarfjerdir	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	iskop	sr_Latn	▷missing◁	Koupavogir	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	isrkv	sr_Latn	▷missing◁	Rejkjavik²	modern
Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	fr6ae	sr_Latn	▷missing◁	Alzas	modern
Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	fr972	sr_Latn	▷missing◁	Martinik	modern
Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	fr973	sr_Latn	▷missing◁	Francuska Gvajana	modern
Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	fr974	sr_Latn	▷missing◁	Reinion	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	itaq	sr_Latn	▷missing◁	L’Akvila (okrug)	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	me24	sr_Latn	▷missing◁	Tuzi	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	me25	sr_Latn	▷missing◁	Zeta	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	si196	sr_Latn	▷missing◁	Opština Cirkulane	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	si198	sr_Latn	▷missing◁	Opština Makole	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	si199	sr_Latn	▷missing◁	Opština Mokronog-Trebelno	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	si200	sr_Latn	▷missing◁	Opština Poljčane	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	si201	sr_Latn	▷missing◁	Opština Renče-Vogrsko	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	si203	sr_Latn	▷missing◁	Opština Straža	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	si205	sr_Latn	▷missing◁	Opština Sveti Tomaž	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	si206	sr_Latn	▷missing◁	Opština Šmarješke Toplice	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	si207	sr_Latn	▷missing◁	Opština Gorje	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	si209	sr_Latn	▷missing◁	Opština Rečica ob Savinji	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	si210	sr_Latn	▷missing◁	Sveti Jurij v Slovenskih goricah	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	si212	sr_Latn	▷missing◁	Opština Mirna	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	si213	sr_Latn	▷missing◁	Opština Ankaran	modern
Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	azlan	sr_Latn	▷missing◁	Lenkoranski rejon²	modern
Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	qawa	sr_Latn	▷missing◁	Vakra	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz11	sr_Latn	▷missing◁	Akmolinska oblast	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz15	sr_Latn	▷missing◁	Aktjubinska oblast	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz19	sr_Latn	▷missing◁	Almatinska oblast	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz23	sr_Latn	▷missing◁	Atirauska oblast	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz27	sr_Latn	▷missing◁	Zapadnokazahstanska oblast	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz31	sr_Latn	▷missing◁	Žambilska oblast	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz35	sr_Latn	▷missing◁	Karagandinska oblast	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz39	sr_Latn	▷missing◁	Kostanajska oblast	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz43	sr_Latn	▷missing◁	Kizilordinska oblast	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz47	sr_Latn	▷missing◁	Mangistauska oblast	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz55	sr_Latn	▷missing◁	Pavlodarska oblast	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz59	sr_Latn	▷missing◁	Severnokazahstanska oblast	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz61	sr_Latn	▷missing◁	Turkestanska oblast	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz63	sr_Latn	▷missing◁	Istočnokazahstanska oblast	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz71	sr_Latn	▷missing◁	Astana	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz75	sr_Latn	▷missing◁	Almati	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz79	sr_Latn	▷missing◁	Šimkent	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzakm	sr_Latn	Akmolinska oblast	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzakt	sr_Latn	Aktjubinska oblast	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzala	sr_Latn	Almati	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzalm	sr_Latn	Almatinska oblast	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzast	sr_Latn	Astana	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzaty	sr_Latn	Atirauska oblast	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzkar	sr_Latn	Karagandinska oblast	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzkus	sr_Latn	Kostanajska oblast	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzkzy	sr_Latn	Kizilordinska oblast	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzman	sr_Latn	Mangistauska oblast	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzpav	sr_Latn	Pavlodarska oblast	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzsev	sr_Latn	Severnokazahstanska oblast	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzshy	sr_Latn	Šimkent	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzvos	sr_Latn	Istočnokazahstanska oblast	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzzap	sr_Latn	Zapadnokazahstanska oblast	▷removed◁	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kzzha	sr_Latn	Žambilska oblast	▷removed◁	modern
Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	kp15	sr_Latn	▷missing◁	Kesong	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	incg	sr_Latn	▷missing◁	Čatisgar	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inct	sr_Latn	Čatisgar	▷removed◁	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inla	sr_Latn	▷missing◁	Ladak	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inod	sr_Latn	▷missing◁	Odiša	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	intg	sr_Latn	Telangana	▷removed◁	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	ints	sr_Latn	▷missing◁	Telangana	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inuk	sr_Latn	▷missing◁	Utarahand	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inut	sr_Latn	Utarahand	▷removed◁	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	my04	sr_Latn	▷missing◁	Malaka (država)	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	tloe	sr_Latn	▷missing◁	Okusi-Ambeno	modern
Locale Display Names	Territories (Oceania)	Micronesian Region-Subdivisions	kig	sr_Latn	▷missing◁	Gilbertova ostrva	modern
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	sr_Latn	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
