#Language	English Name	Native Name	Script	Default Region	№ Locales	Target Level	≟	Computed Level	ICU	Confirmed	🄼%	ⓜ%	ⓑ%	ⓒ%	Missing Features
guz	Gusii	Ekegusii	Latn	KE	1		 ≡		ICU	0.9461077844311377	0.11134211134211135	0.29823493609251367	0.5866666666666667	1.0	
kam	Kamba	Kikamba	Latn	KE	1		 ≡		ICU	0.9461077844311377	0.11134211134211135	0.29823493609251367	0.5866666666666667	1.0	
kln	Kalenjin	Kalenjin	Latn	KE	1		 ≡		ICU	0.9461077844311377	0.11134211134211135	0.29823493609251367	0.5866666666666667	1.0	
luo	Luo	Dholuo	Latn	KE	1		 ≡		ICU	0.9732510288065843	0.11126532500578303	0.29762629336579427	0.5866666666666667	1.0	
ki	Kikuyu	Gikuyu	Latn	KE	1		 ≡		ICU	0.946	0.1111111111111111	0.29762629336579427	0.5866666666666667	1.0	
mer	Meru	Kĩmĩrũ	Latn	KE	1		 ≡		ICU	0.9456740442655935	0.11041811041811042	0.295800365185636	0.5866666666666667	1.0	
rof	Rombo	Kihorombo	Latn	TZ	1		 ≡		ICU	0.9063097514340345	0.10152711953659821	0.2683461117196057	0.5866666666666667	1.0	
saq	Samburu	Kisampur	Latn	KE	1		 ≡		ICU	0.9028571428571428	0.10152711953659821	0.2683461117196057	0.5866666666666667	1.0	
teo	Teso	Kiteso	Latn	UG	2		 ≡		ICU	0.9028571428571428	0.10152711953659821	0.2683461117196057	0.5866666666666667	1.0	
ksb	Shambala	Kishambaa	Latn	TZ	1		 ≡		ICU	0.9497991967871486	0.10157322352444303	0.2677984665936473	0.5866666666666667	1.0	
rwk	Rwa	Kiruwa	Latn	TZ	1		 ≡		ICU	0.9497991967871486	0.10157322352444303	0.2677984665936473	0.5866666666666667	1.0	
jmc	Machame	Kimachame	Latn	TZ	1		 ≡		ICU	0.9061302681992337	0.10131648235913639	0.2677984665936473	0.5866666666666667	1.0	
vun	Vunjo	Kyivunjo	Latn	TZ	1		 ≡		ICU	0.9061302681992337	0.10131648235913639	0.2677984665936473	0.5866666666666667	1.0	
xog	Soga	Olusoga	Latn	UG	1		 ≡		ICU	0.9496981891348089	0.10138346182279016	0.2673972602739726	0.5866666666666667	1.0	
ff	Fula	Pulaar	Latn	SN	12		 ≡		ICU	0.95	0.10173068805403124	0.26735921268452706	0.5866666666666667	1.0	
cgg	Chiga	Rukiga	Latn	UG	1		 ≡		ICU	0.9075144508670521	0.10085272133908832	0.26641137855579866	0.5866666666666667	1.0	
naq	Nama	Khoekhoegowab	Latn	NA	1		 ≡		ICU	0.8665447897623401	0.09330236159504453	0.24390243902439024	0.5866666666666667	1.0	
mgh	Makhuwa-Meetto	Makua	Latn	MZ	1		 ≡		ICU	0.9642857142857143	0.07683406618838232	0.2071907373552712	0.5866666666666667	1.0	
ses	Koyraboro Senni	Koyraboro senni	Latn	ML	1		 ≡		ICU	0.9730848861283644	0.11035359371388953	0.294474802671524	0.5733333333333334	1.0	
sg	Sango	Sängö	Latn	CF	1		 ≡		ICU	0.9474747474747475	0.11004618937644342	0.2944038929440389	0.5733333333333334	1.0	
khq	Koyra Chiini	Koyra ciini	Latn	ML	1		 ≡		ICU	0.9730290456431535	0.11012248671134735	0.2938676381299332	0.5733333333333334	1.0	
seh	Sena	sena	Latn	MZ	1		 ≡		ICU	0.9486652977412731	0.09901929769060423	0.2603711790393013	0.5733333333333334	1.0	
lag	Langi	Kɨlaangi	Latn	TZ	1		 ≡		ICU	0.9274509803921569	0.09335535263260152	0.24302788844621515	0.5733333333333334	1.0	
kab	Kabyle	Taqbaylit	Latn	DZ	1		 ≡		ICU	0.09880147510755993	0.1012442932593322	0.20444072056975282	0.5714285714285714	1.0	
kkj	Kako	kakɔ	Latn	CM	1		 ≡		ICU	0.8674033149171271	0.03770595690747782	0.10952902519167579	0.5714285714285714	1.0	
az_Cyrl	Azeri (Cyrillic)	азәрбајҹан (Кирил)	Cyrl	AZ	1		 ≡		ICU	0.9639519359145527	0.12933546385938527	0.2720465890183028	0.5625	1.0	
lg	Ganda	Luganda	Latn	UG	1		 ≡		ICU	0.9494949494949495	0.10072853975293	0.26506024096385544	0.56	1.0	
nyn	Nyankole	Runyankore	Latn	UG	1		 ≡		ICU	0.905587668593449	0.1004739336492891	0.26506024096385544	0.56	1.0	
nd	North Ndebele	isiNdebele	Latn	ZW	1		 ≡		ICU	0.9019230769230769	0.10026329647182727	0.26451259583789705	0.56	1.0	
bo	Tibetan	བོད་སྐད་	Tibt	CN	2		 ≡		ICU	0.4261501210653753	0.040372670807453416	0.09967396367023754	0.5512820512820513	1.0	
bm	Bambara	bamanakan	Latn	ML	1		 ≡		ICU	0.9454545454545454	0.10908045977011495	0.28941034897713597	0.5394736842105263	1.0	
mfe	Morisyen	kreol morisien	Latn	MU	1		 ≡		ICU	0.9728033472803347	0.108876560332871	0.28979343863912516	0.5333333333333333	1.0	
kaa	Kara-Kalpak	қарақалпақша	Cyrl	UZ	1		 ≡			0.9944852941176471	0.11604554865424431	0.27128157156220767	0.5263157894736842	1.0	
mzn	Mazanderani	‫مازرونی‬	Arab	IR	1		 ≡		ICU	0.9965034965034965	0.22589420654911838	0.36150442477876105	0.5157894736842106	1.0	
kl	Kalaallisut	kalaallisut	Latn	GL	1		 ≡		ICU	0.6565499351491569	0.27505636400901823	0.08208154506437768	0.5064935064935064	1.0	
pap	Papiamento	Papiamentu	Latn	CW	2		 ≡			0.03119584055459272	0.011309891013777504	0.037851662404092073	0.5	1.0	
vai_Latn	Vai (Latin)	Vai (Latn)	Latn	LR	1		 ≡		ICU	0.9382151029748284	0.09547912113194525	0.25301204819277107	0.48717948717948717	1.0	
gv	Manx	Gaelg	Latn	IM	1		 ≡		ICU	0.3230769230769231	0.013288213931990756	0.040329218106995884	0.48	1.0	
kw	Cornish	kernewek	Latn	GB	1		 ≡		ICU	0.4603174603174603	0.011674060238150829	0.03552123552123552	0.48	1.0	
lkt	Lakota	Lakȟólʼiyapi	Latn	US	1		 ≡		ICU	0.8438538205980066	0.044544718269119515	0.08022045315370484	0.4666666666666667	1.0	
osa	Osage	𐓏𐓘𐓻𐓘𐓻𐓟	Osge	US	1		 ≡			0.6581196581196581	0.019121064863722798	0.050706972208678695	0.4533333333333333	1.0	
mus	Muscogee	Mvskoke	Latn	US	1		 ≡			0.5617977528089888	0.014716106604866743	0.04715248009797918	0.4533333333333333	1.0	
cic	Chickasaw	Chikashshanompaʼ	Latn	US	1		 ≡			0.4868421052631579	0.011703360370799536	0.03919167176974893	0.4533333333333333	1.0	
shi_Latn	Tachelhit (Latin)	Tashelḥiyt (Latn)	Latn	MA	1		 ≡		ICU	0.9252525252525252	0.08796296296296297	0.22082166199813258	0.45263157894736844	1.0	
shi	Tachelhit	ⵜⴰⵛⵍⵃⵉⵜ	Tfng	MA	1		 ≡		ICU	0.9251012145748988	0.0814503415659485	0.1848378272762798	0.45263157894736844	1.0	
uz_Arab	Uzbek (Arabic)	‫اوزبیک (عربی)‬	Arab	AF	0		 ≡		ICU	0.6036036036036037	0.016103211225162443	0.04344193817878028	0.4329896907216495	1.0	
cad	Caddo	Caddo	Latn	US	1		 ≡			0.4492753623188406	0.010428736964078795	0.036129822412737295	0.4266666666666667	1.0	
gn	Guarani	avañe’ẽ	Latn	PY	1		 ≡			0.36363636363636365	0.010085787155112451	0.036129822412737295	0.4266666666666667	1.0	
pa_Arab	Punjabi (Arabic)	‫پنجابی (عربی)‬	Arab	PK	0		 ≡		ICU	0.9908675799086758	0.2563401527293297	0.04795663052543787	0.3958333333333333	1.0	
bss	Akoose	Akoose	Latn	CM	1		 ≡			1.0	0.013882461823229986	0.044457978075517664	0.38666666666666666	1.0	
ms_Arab	Malay (Arabic)	‫بهاس ملايو (عرب)‬	Arab	MY	2		 ≡			0.5766423357664233	0.046989279631299466	0.10117749672917575	0.375	1.0	
hnj	Hmong Njua	𞄀𞄄𞄰𞄩𞄍𞄜𞄰	Hmnp	US	1		 ≡			1.0	0.02403288710867503	0.06204556471158507	0.3684210526315789	1.0	
cho	Choctaw	Chahta	Latn	US	1		 ≡			1.0	0.006952491309385863	0.02510716472749541	0.30666666666666664	1.0	
rhg	Rohingya	‫𐴌𐴗𐴥𐴝𐴙𐴚𐴒𐴙𐴝‬	Rohg	MM	2		 ≡			1.0	0.16135814149059183	0.06592877767083734	0.2987012987012987	1.0	ⓑ own_regions
az_Arab	Azeri (Arabic)	‫تۆرکجه‬	Arab	IR	0		 ≡			1.0	0.01932639084341871	0.033126293995859216	0.2653061224489796	1.0	ⓑ own_regions
bgn	Western Balochi	‫بلوچی [رخشانی]‬	Arab	PK	5		 ≡			1.0	0.08659963061768931	0.1410845588235294	0.2631578947368421	1.0	ⓑ own_regions
ss	Swati	siSwati	Latn	ZA	2		 ≡			0.288135593220339	0.005502063273727648	0.019273127753303965	0.25333333333333335	1.0	ⓑ own_regions
iu	Inuktitut	ᐃᓄᒃᑎᑐᑦ	Cans	CA	1		 ≡			0.7052631578947368	0.013659237958303379	0.03503709810387469	0.23684210526315788	1.0	
bal	Baluchi	‫بلۆچی‬	Arab	PK	1		 ≡			0.09398496240601503	0.006629415664362155	0.01905165114309907	0.23404255319148937	1.0	
nr	South Ndebele	isiNdebele	Latn	ZA	1		 ≡			0.25	0.004867209819066766	0.017070484581497798	0.22666666666666666	1.0	ⓑ own_regions
ve	Venda	Tshivenḓa	Latn	ZA	1		 ≡			0.22727272727272727	0.004867209819066766	0.017070484581497798	0.22666666666666666	1.0	ⓑ own_regions
sms	Skolt Sami	sääʹmǩiõll	Latn	FI	1		 ≡			0.07650273224043716	0.0042772431223874795	0.014925373134328358	0.22666666666666666	1.0	
ann	Obolo	Obolo	Latn	NG	1		 ≡			1.0	0.0045159796201945344	0.016453382084095063	0.2077922077922078	1.0	ⓑ own_regions
en_Shaw	English (Shavian)	en (Shaw)	Shaw	GB	1		 ≡			0.9696969696969697	0.02049927113702624	0.04938744257274119	0.20481927710843373	1.0	ⓑ own_language, ⓑ own_regions
shn	Shan	တႆး	Mymr	MM	2		 ≡			1.0	0.00422654268808115	0.013151485630784217	0.2	1.0	
mn_Mong	Mongolian (Mongolian)	mn (Mong)	Mong	CN	0		 ≡			1.0	0.00897510133178923	0.02331720193576771	0.19480519480519481	1.0	ⓑ own_language, ⓑ own_regions
sdh	Southern Kurdish	‫کوردی خوارگ‬	Arab	IR	2		 ≡			1.0	0.005977397963948819	0.016413623307345096	0.18947368421052632	1.0	ⓑ own_regions
mni_Mtei	Manipuri (Meitei Mayek)	ꯃꯤꯇꯩꯂꯣꯟ (ꯃꯤꯇꯩ ꯃꯌꯦꯛ)	Mtei	IN	1		 ≡			0.6363636363636364	0.004457344252099098	0.01350721937587331	0.18823529411764706	1.0	ⓑ own_regions
la	Latin	Latina	Latn	VA	1		 ≡			0.016414141414141416	0.004331965344277246	0.015042117930204572	0.18181818181818182	1.0	
byn	Blin	ብሊን	Ethi	ER	1		 ≡			0.03869047619047619	0.004039776258545681	0.012166588675713618	0.18181818181818182	1.0	
wal	Wolaytta	ወላይታቱ	Ethi	ET	1		 ≡			0.05172413793103448	0.003843357224472837	0.011704119850187267	0.18181818181818182	1.0	
tig	Tigre	ትግረ	Ethi	ER	1		 ≡			0.03880597014925373	0.0037217291726309764	0.011206896551724138	0.18181818181818182	1.0	
ssy	Saho	Saho	Latn	ER	1		 ≡			0.14893617021276595	0.0041515308770108976	0.013713080168776372	0.17333333333333334	1.0	
wbp	Warlpiri	Warlpiri	Latn	AU	1		 ≡			1.0	0.0034778576396939484	0.012859767299448868	0.17333333333333334	1.0	ⓑ own_regions
cu	Church Slavic	церковнослове́нскїй	Cyrl	RU	1		 ≡			0.024390243902439025	0.0035861196076363254	0.011159631246967491	0.17105263157894737	1.0	
dv	Divehi	‫ދިވެހިބަސް‬	Thaa	MV	1		 ≡			0.44	0.0032387121356448846	0.00989247311827957	0.17105263157894737	1.0	
sat_Deva	Santali (Devanagari)	सानताड़ी (देवानागारी)	Deva	IN	1		 ≡			0.6666666666666666	0.004059301094246382	0.011848341232227487	0.1702127659574468	1.0	ⓑ own_regions
