#LCode	English Name	Script	Locale Level	Path Level	STStatus	Bailey	Section	Page	Header	Code	ST Link
‡ast	Asturian	Latin	moderate	moderate	n/a	GGGGG y-MM-dd – GGGGG y-MM-dd	Date & Time	Gregorian	Formats - Intervals - Date Formats	GyMd/G	http://st.unicode.org/cldr-apps/v#/ast//46398df66d561b44
‡ast	Asturian	Latin	moderate	moderate	n/a	GGGGG y-MM-dd – y-MM-dd	Date & Time	Gregorian	Formats - Intervals - Date Formats	GyMd/M	http://st.unicode.org/cldr-apps/v#/ast//634d7fb7ef17de44
‡ast	Asturian	Latin	moderate	moderate	n/a	GGGGG y-MM-dd – y-MM-dd	Date & Time	Gregorian	Formats - Intervals - Date Formats	GyMd/y	http://st.unicode.org/cldr-apps/v#/ast//17d866092a4b6705
‡ast	Asturian	Latin	moderate	moderate	n/a	GGGGG y-MM-dd, E – y-MM-dd, E	Date & Time	Gregorian	Formats - Intervals - Date Formats	GyMEd/d	http://st.unicode.org/cldr-apps/v#/ast//a123bbeb7d1df7f
‡ast	Asturian	Latin	moderate	moderate	n/a	GGGGG y-MM-dd, E – GGGGG y-MM-dd, E	Date & Time	Gregorian	Formats - Intervals - Date Formats	GyMEd/G	http://st.unicode.org/cldr-apps/v#/ast//609e1850e554d157
‡ast	Asturian	Latin	moderate	moderate	n/a	GGGGG y-MM-dd, E – y-MM-dd, E	Date & Time	Gregorian	Formats - Intervals - Date Formats	GyMEd/M	http://st.unicode.org/cldr-apps/v#/ast//7655936c57cb8e2a
‡ast	Asturian	Latin	moderate	moderate	n/a	GGGGG y-MM-dd, E – y-MM-dd, E	Date & Time	Gregorian	Formats - Intervals - Date Formats	GyMEd/y	http://st.unicode.org/cldr-apps/v#/ast//423f5188501cf1a1
‡ast	Asturian	Latin	moderate	moderate	n/a	G y MMM – G y MMM	Date & Time	Gregorian	Formats - Intervals - Date Formats	GyMMM/G	http://st.unicode.org/cldr-apps/v#/ast//43fa7e551cc6fc1d
‡ast	Asturian	Latin	moderate	moderate	n/a	G y MMM–MMM	Date & Time	Gregorian	Formats - Intervals - Date Formats	GyMMM/M	http://st.unicode.org/cldr-apps/v#/ast//5222a87fad3af790
‡ast	Asturian	Latin	moderate	moderate	n/a	G y MMM – y MMM	Date & Time	Gregorian	Formats - Intervals - Date Formats	GyMMM/y	http://st.unicode.org/cldr-apps/v#/ast//44ca5354b977f662
‡ast	Asturian	Latin	moderate	moderate	n/a	G y MMM d–d	Date & Time	Gregorian	Formats - Intervals - Date Formats	GyMMMd/d	http://st.unicode.org/cldr-apps/v#/ast//5db7b9b4de4db13d
‡ast	Asturian	Latin	moderate	moderate	n/a	G y MMM d – G y MMM d	Date & Time	Gregorian	Formats - Intervals - Date Formats	GyMMMd/G	http://st.unicode.org/cldr-apps/v#/ast//347f1932cf6fcfb7
‡ast	Asturian	Latin	moderate	moderate	n/a	G y MMM d – MMM d	Date & Time	Gregorian	Formats - Intervals - Date Formats	GyMMMd/M	http://st.unicode.org/cldr-apps/v#/ast//46f1e0f7dd705131
‡ast	Asturian	Latin	moderate	moderate	n/a	G y MMM d – y MMM d	Date & Time	Gregorian	Formats - Intervals - Date Formats	GyMMMd/y	http://st.unicode.org/cldr-apps/v#/ast//30cc3af5d25f8c7a
‡ast	Asturian	Latin	moderate	moderate	n/a	G y MMM d, E – MMM d, E	Date & Time	Gregorian	Formats - Intervals - Date Formats	GyMMMEd/d	http://st.unicode.org/cldr-apps/v#/ast//4d988ef42af07ea2
‡ast	Asturian	Latin	moderate	moderate	n/a	G y MMM d, E – G y MMM d, E	Date & Time	Gregorian	Formats - Intervals - Date Formats	GyMMMEd/G	http://st.unicode.org/cldr-apps/v#/ast//63eb318f2538fca1
‡ast	Asturian	Latin	moderate	moderate	n/a	G y MMM d, E – MMM d, E	Date & Time	Gregorian	Formats - Intervals - Date Formats	GyMMMEd/M	http://st.unicode.org/cldr-apps/v#/ast//a4ea0b28b563e70
‡ast	Asturian	Latin	moderate	moderate	n/a	G y MMM d, E – y MMM d, E	Date & Time	Gregorian	Formats - Intervals - Date Formats	GyMMMEd/y	http://st.unicode.org/cldr-apps/v#/ast//6e080fd6d8a2113c
‡ast	Asturian	Latin	moderate	moderate	n/a	null	Timezones	North America	Yukon	standard-long	http://st.unicode.org/cldr-apps/v#/ast//5a474fd785a80c35
‡ast	Asturian	Latin	moderate	moderate	n/a	~	Numbers	Symbols	Symbols 	approximatelySign	http://st.unicode.org/cldr-apps/v#/ast//69689fb86ae60444
‡ast	Asturian	Latin	moderate	moderate	n/a	CNH	Currencies	Eastern Asia (C)	Eastern Asia: China: CNH (offshore)	CNH-name	http://st.unicode.org/cldr-apps/v#/ast//7b0abdabba2d296b
‡ast	Asturian	Latin	moderate	moderate	n/a	CNH	Currencies	Eastern Asia (C)	Eastern Asia: China: CNH (offshore)	CNH-name-one	http://st.unicode.org/cldr-apps/v#/ast//33614e4fbb0dde2f
‡ast	Asturian	Latin	moderate	moderate	n/a	CNH	Currencies	Eastern Asia (C)	Eastern Asia: China: CNH (offshore)	CNH-name-other	http://st.unicode.org/cldr-apps/v#/ast//5d6b36f22c5a1078
‡ast	Asturian	Latin	moderate	moderate	n/a	~{0}	Numbers	Number Formatting Patterns	Miscellaneous Patterns 	approximately	http://st.unicode.org/cldr-apps/v#/ast//39bebc189a5828a2
‡ast	Asturian	Latin	moderate	moderate	n/a	≤{0}	Numbers	Number Formatting Patterns	Miscellaneous Patterns 	atMost	http://st.unicode.org/cldr-apps/v#/ast//6c59fff3c0a3f8bb
‡ast	Asturian	Latin	moderate	moderate	n/a	{0}⋅{1}	Units	Compound Units	times	long	http://st.unicode.org/cldr-apps/v#/ast//6761036bf70f7124
