#Version	Dtd Type	Intermediate Path	Element	Attributes
35.0	ldml	​/units​/unitLength/	compoundUnit	<div>type ➠⟪literal/per⟫</div>
35.0	supplementalData	/	version	<div>number ➠⟪any⟫</div><div>cldrVersion ➠⟪version⟫</div><div>unicodeVersion ➠⟪version⟫</div>
35.0	supplementalData	/	dayPeriodRuleSet	<div>type ➠⟪literal/selection⟫</div>
35.0	supplementalData	​/calendarData/	calendar	<div>type ➠⟪bcp47/ca⟫</div>
35.0	supplementalData	​/calendarData​/calendar​/eras/	era	<div>type ➠⟪range/0~250⟫</div><div>start ➠⟪time/yyyy-MM-dd⟫</div><div>end ➠⟪time/yyyy-MM-dd⟫</div>
35.0	supplementalData	​/calendarPreferenceData/	calendarPreference	<div>territories ➠⟪set/validity/region⟫</div><div>ordering ➠⟪set/bcp47/ca⟫</div>
35.0	supplementalData	​/characters​/character-fallback/	character	<div>value ➠⟪any⟫</div>
35.0	supplementalData	​/codeMappings/	territoryCodes	<div>type ➠⟪validity/region⟫</div><div>numeric ➠⟪range/1~999⟫</div><div>alpha3 ➠⟪regex/[A-Z]{3}⟫</div><div>fips10 ➠⟪regex/[A-Z]{2}⟫</div>
35.0	supplementalData	​/codeMappings/	currencyCodes	<div>type ➠⟪validity/currency⟫</div><div>numeric ➠⟪range/1~999⟫</div>
35.0	supplementalData	​/coverageLevels/	coverageVariable	<div>key ➠⟪any⟫</div><div>value ➠⟪any⟫</div>
35.0	supplementalData	​/coverageLevels/	coverageLevel	<div>inLanguage ➠⟪any⟫</div><div>inScript ➠⟪validity/script⟫</div><div>inTerritory ➠⟪any⟫</div><div>value ➠⟪literal/basic, core, minimal, moderate, modern, posix⟫</div><div>match ➠⟪any⟫</div>
35.0	supplementalData	​/coverageLevels​/approvalRequirements/	approvalRequirement	<div>votes ➠⟪any⟫</div><div>locales ➠⟪any⟫</div><div>paths ➠⟪any⟫</div>
35.0	supplementalData	​/currencyData/	region	<div>iso3166 ➠⟪validity/region⟫</div>
35.0	supplementalData	​/currencyData​/fractions/	info	<div>iso4217 ➠⟪or/validity/currency||literal/DEFAULT⟫</div><div>digits ➠⟪range/0~5⟫</div><div>rounding ➠⟪range/0~5⟫</div><div>cashDigits ➠⟪range/0~100⟫</div><div>cashRounding ➠⟪literal/0, 5, 50⟫</div>
35.0	supplementalData	​/currencyData​/region/	currency	<div>from ➠⟪time/yyyy-MM-dd⟫</div><div>to ➠⟪time/yyyy-MM-dd⟫</div><div>iso4217 ➠⟪validity/currency⟫</div>
35.0	supplementalData	​/dayPeriodRuleSet/	dayPeriodRules	<div>locales ➠⟪set/validity/locale⟫</div>
35.0	supplementalData	​/dayPeriodRuleSet​/dayPeriodRules/	dayPeriodRule	<div>type ➠⟪literal/afternoon1, afternoon2, am, evening1, evening2, midnight, morning1, morning2, night1, night2, noon, pm⟫</div><div>at ➠⟪time/HH:mm⟫</div><div>after ➠⟪time/HH:mm⟫</div><div>before ➠⟪time/HH:mm⟫</div><div>from ➠⟪time/HH:mm⟫</div><div>to ➠⟪time/HH:mm⟫</div>
35.0	supplementalData	​/gender/	personList	<div>locales ➠⟪set/validity/locale⟫</div>
35.0	supplementalData	​/idValidity/	id	<div>type ➠⟪literal/currency, language, region, script, subdivision, unit, variant⟫</div><div>idStatus ➠⟪literal/deprecated, macroregion, private_use, regular, reserved, special, unknown⟫</div>
35.0	supplementalData	​/languageData/	language	<div>type ➠⟪set/validity/language⟫</div><div>scripts ➠⟪set/validity/script⟫</div><div>territories ➠⟪set/validity/region⟫</div><div>alt ➠⟪literal/secondary, variant⟫</div>
35.0	supplementalData	​/languageGroups/	languageGroup	<div>parent ➠⟪validity/language⟫</div>
35.0	supplementalData	​/languageMatching/	languageMatches	<div>type ➠⟪literal/written, written_new⟫</div>
35.0	supplementalData	​/languageMatching​/languageMatches/	paradigmLocales	<div>locales ➠⟪set/validity/locale⟫</div>
35.0	supplementalData	​/languageMatching​/languageMatches/	matchVariable	<div>id ➠⟪regex/\$[a-zA-Z0-9_]+⟫</div><div>value ➠⟪any⟫</div>
35.0	supplementalData	​/languageMatching​/languageMatches/	languageMatch	<div>desired ➠⟪any/TODO⟫</div><div>supported ➠⟪any/TODO⟫</div><div>percent ➠⟪range/0~100⟫</div><div>distance ➠⟪range/0~100⟫</div>
35.0	supplementalData	​/likelySubtags/	likelySubtag	<div>from ➠⟪validity/locale⟫</div><div>to ➠⟪validity/locale⟫</div>
35.0	supplementalData	​/measurementData/	measurementSystem	<div>territories ➠⟪set/validity/region⟫</div>
35.0	supplementalData	​/measurementData/	paperSize	<div>territories ➠⟪set/validity/region⟫</div>
35.0	supplementalData	​/metadata/	defaultContent	<div>locales ➠⟪set/validity/locale⟫</div>
35.0	supplementalData	​/metadata​/alias/	languageAlias	<div>type ➠⟪or/validity/locale||literal/aa_SAAHO, aar, abk, afr, aka, alb, amh, ara, arg, arm, art_lojban, asm, ava, ave, aym, aze, bak, bam, baq, bel, ben, bih, bis, bod, bos, bre, bul, bur, cat, ces, cha, che, chi, chu, chv, cor, cos, cre, cym, cze, dan, deu, div, dut, dzo, ell, eng, epo, est, eus, ewe, fao, fas, fij, fin, fra, fre, fry, ful, geo, ger, gla, gle, glg, glv, gre, grn, guj, hat, hau, hbs, heb, her, hin, hmo, hrv, hun, hye, i_ami, i_bnn, i_hak, i_klingon, i_lux, i_navajo, i_pwn, i_tao, i_tay, i_tsu, ibo, ice, ido, iii, iku, ile, ina, ind, ipk, isl, ita, jav, jpn, kal, kan, kas, kat, kau, kaz, khm, kik, kin, kir, kom, kon, kor, kua, kur, lao, lat, lav, lim, lin, lit, ltz, lub, lug, mac, mah, mal, mao, mar, may, mkd, mlg, mlt, mol, mon, mri, msa, mya, nau, nav, nbl, nde, ndo, nep, nld, nno, no_BOKMAL, no_NYNORSK, no_bok, no_nyn, nob, nor, nya, oci, oji, ori, orm, oss, pan, per, pli, pol, por, pus, que, roh, ron, rum, run, rus, sag, san, scc, scr, sgn_BE_FR, sgn_BE_NL, sgn_CH_DE, sin, slk, slo, slv, sme, smo, sna, snd, som, sot, spa, sqi, srd, srp, ssw, sun, swa, swe, tah, tam, tat, tel, tgk, tgl, tha, tib, tir, ton, tsn, tso, tuk, tur, twi, uig, ukr, urd, uzb, ven, vie, vol, wel, wln, wol, xho, yid, yor, zh_guoyu, zh_hakka, zh_min_nan, zh_xiang, zha, zho, zul⟫</div><div>replacement ➠⟪validity/locale⟫</div>
35.0	supplementalData	​/metadata​/alias/	scriptAlias	<div>type ➠⟪validity/script⟫</div><div>replacement ➠⟪validity/script⟫</div>
35.0	supplementalData	​/metadata​/alias/	territoryAlias	<div>type ➠⟪set/or/validity/region||regex/[0-9]{3}|[A-Z]{3}||literal/CT, DY, FQ, HV, JT, MI, NH, NQ, PC, PU, PZ, RH, UK, VD, WK⟫</div><div>replacement ➠⟪set/validity/region⟫</div>
35.0	supplementalData	​/metadata​/alias/	subdivisionAlias	<div>type ➠⟪validity/subdivision⟫</div><div>replacement ➠⟪set/or/validity/region||validity/subdivision⟫</div>
35.0	supplementalData	​/metadata​/alias/	variantAlias	<div>type ➠⟪or/validity/variant||literal/AALAND, POLYTONI⟫</div><div>replacement ➠⟪or/validity/variant||validity/region⟫</div>
35.0	supplementalData	​/metadata​/alias/	zoneAlias	<div>type ➠⟪or/bcp47/tz||literal/SystemV/AST4, SystemV/AST4ADT, SystemV/CST6, SystemV/CST6CDT, SystemV/EST5, SystemV/EST5EDT, SystemV/HST10, SystemV/MST7, SystemV/MST7MDT, SystemV/PST8, SystemV/PST8PDT, SystemV/YST9, SystemV/YST9YDT⟫</div><div>replacement ➠⟪bcp47/tz⟫</div>
35.0	supplementalData	​/metadata​/suppress/	attributes	<div>element ➠⟪any⟫</div><div>attribute ➠⟪any⟫</div><div>attributeValue ➠⟪any⟫</div>
35.0	supplementalData	​/metadata​/validity/	variable	<div>type ➠⟪any⟫</div><div>id ➠⟪any⟫</div>
35.0	supplementalData	​/metadata​/validity/	attributeValues	<div>dtds ➠⟪any⟫</div><div>type ➠⟪any⟫</div><div>elements ➠⟪any⟫</div><div>attributes ➠⟪any⟫</div><div>order ➠⟪any⟫</div>
35.0	supplementalData	​/metazoneInfo/	timezone	<div>type ➠⟪bcp47/tz⟫</div>
35.0	supplementalData	​/metazoneInfo​/timezone/	usesMetazone	<div>from ➠⟪time/yyyy-MM-dd HH:mm⟫</div><div>to ➠⟪time/yyyy-MM-dd HH:mm⟫</div><div>mzone ➠⟪metazone⟫</div>
35.0	supplementalData	​/numberingSystems/	numberingSystem	<div>id ➠⟪bcp47/nu⟫</div><div>digits ➠⟪unicodeset/[\p{Nd}[\u3007\u4E00\u4E03\u4E09\u4E5D\u4E8C\u4E94\u516B\u516D\u56DB][\U0001E140-\U0001E149][\U0001E2F0-\U0001E2F9]]⟫</div><div>rules ➠⟪any⟫</div>
35.0	supplementalData	​/parentLocales/	parentLocale	<div>parent ➠⟪validity/locale⟫</div><div>locales ➠⟪set/validity/locale⟫</div>
35.0	supplementalData	​/plurals/	pluralRules	<div>locales ➠⟪set/validity/locale⟫</div>
35.0	supplementalData	​/plurals/	pluralRanges	<div>locales ➠⟪set/validity/locale⟫</div>
35.0	supplementalData	​/primaryZones/	primaryZone	<div>iso3166 ➠⟪validity/region⟫</div>
35.0	supplementalData	​/references/	reference	<div>type ➠⟪any⟫</div><div>uri ➠⟪any⟫</div>
35.0	supplementalData	​/rgScope/	rgPath	<div>path ➠⟪any⟫</div>
35.0	supplementalData	​/subdivisionContainment/	subgroup	<div>type ➠⟪or/validity/region||validity/subdivision⟫</div><div>contains ➠⟪set/validity/subdivision⟫</div>
35.0	supplementalData	​/territoryContainment/	group	<div>type ➠⟪validity/region⟫</div><div>contains ➠⟪set/validity/region⟫</div>
35.0	supplementalData	​/territoryInfo/	territory	<div>type ➠⟪validity/region⟫</div><div>gdp ➠⟪range/0~100000000000000⟫</div><div>literacyPercent ➠⟪range/0.0~100.0⟫</div><div>population ➠⟪range/0~10000000000⟫</div>
35.0	supplementalData	​/territoryInfo​/territory/	languagePopulation	<div>type ➠⟪validity/locale⟫</div><div>literacyPercent ➠⟪range/0~100⟫</div><div>writingPercent ➠⟪range/0~100⟫</div><div>populationPercent ➠⟪range/0.0~100.0⟫</div>
35.0	supplementalData	​/timeData/	hours	<div>allowed ➠⟪set/literal/H, h, K, k, hB, hb⟫</div><div>preferred ➠⟪literal/H, h⟫</div><div>regions ➠⟪set/or/validity/region||validity/locale⟫</div>
35.0	supplementalData	​/timezoneData/	mapTimezones	<div>type ➠⟪literal/metazones⟫</div><div>otherVersion ➠⟪any⟫</div><div>typeVersion ➠⟪regex/[0-9]{4}[a-z]+⟫</div>
35.0	supplementalData	​/timezoneData​/mapTimezones/	mapZone	<div>type ➠⟪set/bcp47/tz⟫</div><div>other ➠⟪any⟫</div><div>territory ➠⟪validity/region⟫</div>
35.0	supplementalData	​/transforms/	transform	<div>source ➠⟪any/TODO⟫</div><div>target ➠⟪any/TODO⟫</div><div>variant ➠⟪any/TODO⟫</div><div>alias ➠⟪any/TODO⟫</div><div>backwardAlias ➠⟪any/TODO⟫</div>
35.0	supplementalData	​/unitPreferenceData/	unitPreferences	<div>category ➠⟪literal/area, concentr, consumption, duration, energy, length, mass, pressure, speed, temperature, volume⟫</div><div>usage ➠⟪literal/baromtrc, blood-glucose, food, land-agricult, land-commercl, land-residntl, music-track, person, person-age, person-usage, rainfall, road, road-travel, snowfall, tv-program, vehicle, vehicle-fuel, visiblty, weather, wind⟫</div>
35.0	supplementalData	​/unitPreferenceData​/unitPreferences/	unitPreference	<div>regions ➠⟪set/validity/region⟫</div><div>alt ➠⟪literal/informal, variant⟫</div>
35.0	supplementalData	​/weekData/	minDays	<div>territories ➠⟪set/validity/region⟫</div>
35.0	supplementalData	​/weekData/	firstDay	<div>territories ➠⟪set/validity/region⟫</div>
35.0	supplementalData	​/weekData/	weekendStart	<div>territories ➠⟪set/validity/region⟫</div>
35.0	supplementalData	​/weekData/	weekendEnd	<div>territories ➠⟪set/validity/region⟫</div>
35.0	supplementalData	​/weekData/	weekOfPreference	<div>locales ➠⟪set/validity/locale⟫</div><div>ordering ➠⟪set/literal/weekOfDate, weekOfInterval, weekOfMonth, weekOfYear⟫</div>
35.0	ldmlBCP47	/	version	<div>number ➠⟪regex/\$Revision.*\$⟫</div><div>cldrVersion ➠⟪version⟫</div>
35.0	ldmlBCP47	​/keyword/	key	<div>extension ➠⟪any⟫</div><div>name ➠⟪regex/[a-z0-9]{2}⟫</div><div>description ➠⟪any⟫</div><div>alias ➠⟪any⟫</div><div>since ➠⟪version⟫</div>
35.0	ldmlBCP47	​/keyword​/key/	type	<div>name ➠⟪any⟫</div><div>description ➠⟪any⟫</div><div>preferred ➠⟪bcp47/anyvalue⟫</div><div>alias ➠⟪any⟫</div><div>since ➠⟪version⟫</div>
35.0	keyboard		keyboard	<div>locale ➠⟪any/TODO⟫</div>
35.0	keyboard	/	version	<div>platform ➠⟪version⟫</div><div>number ➠⟪regex/\$Revision.*\$⟫</div><div>cldrVersion ➠⟪version⟫</div>
35.0	keyboard	/	keyMap	<div>modifiers ➠⟪any/TODO⟫</div>
35.0	keyboard	/	transforms	<div>type ➠⟪literal/simple⟫</div>
35.0	keyboard	​/keyMap/	map	<div>iso ➠⟪regex/[A-E](0[0-9]|1[0-3])⟫</div><div>to ➠⟪any⟫</div><div>longPress ➠⟪any⟫</div>
35.0	keyboard	​/names/	name	<div>value ➠⟪any⟫</div>
35.0	keyboard	​/transforms/	transform	<div>from ➠⟪any⟫</div><div>to ➠⟪any⟫</div>
35.0	platform		platform	<div>id ➠⟪literal/android, chromeos, osx, windows⟫</div>
35.0	platform	​/hardwareMap/	map	<div>keycode ➠⟪range/0~150⟫</div><div>iso ➠⟪regex/[A-E](0[0-9]|1[0-3])⟫</div>
34.0	ldml	​/units​/unitLength​/coordinateUnit/	+displayName	<div>⊕</div>
34.0	supplementalData	/	⊖telephoneCodeData	 
34.0	supplementalData	​/calendarData​/calendar​/eras/	era	<div>+named §v ⟨true, false⟩</div>
34.0	supplementalData	​/codeMappings/	territoryCodes	<div>⊖internet</div>
34.0	supplementalData	​/telephoneCodeData/	⊖codesByTerritory	<div>⊖territory</div>
34.0	supplementalData	​/telephoneCodeData​/codesByTerritory/	⊖telephoneCountryCode	<div>⊖code</div><div>⊖from</div><div>⊖to</div><div>⊖alt</div>
33.0	ldml	/	+typographicNames	 
33.0	ldml	​/typographicNames/	+axisName	<div>+type §d ⟨ital, opsz, slnt, wdth, wght⟩</div>
33.0	ldml	​/typographicNames/	+styleName	<div>+type §d ⟨ital, opsz, slnt, wdth, wght⟩</div><div>+subtype §d </div>
33.0	ldml	​/typographicNames/	+featureName	<div>+type §d ⟨afrc, cpsp, dlig, frac, lnum, onum, ordn, pnum, smcp, tnum, zero⟩</div>
33.0	supplementalData	​/metadata/	⊖distinguishing	 
33.0	supplementalData	​/metadata/	⊖blocking	 
33.0	supplementalData	​/metadata/	⊖skipDefaultLocale	<div>⊖services</div>
33.0	supplementalData	​/metadata​/blocking/	⊖blockingItems	<div>⊖elements</div>
33.0	supplementalData	​/metadata​/distinguishing/	⊖distinguishingItems	<div>⊖exclude</div><div>⊖elements</div><div>⊖attributes</div>
33.0	keyboard	/	+import	<div>+path §d </div>
33.0	keyboard	/	+displayMap	 
33.0	keyboard	/	+layer	<div>+modifier §d </div>
33.0	keyboard	/	+vkeys	<div>⊕</div>
33.0	keyboard	/	+reorders	 
33.0	keyboard	/	+backspaces	 
33.0	keyboard	​/backspaces/	+backspace	<div>+before §d </div><div>+from §d </div><div>+after §d </div><div>+to §v </div><div>+error §v ⟨fail⟩</div>
33.0	keyboard	​/displayMap/	+display	<div>+to §d </div><div>+display §v </div>
33.0	keyboard	​/keyMap/	map	<div>+longpress-status §d ⟨optional⟩</div><div>+multitap §v </div><div>+hint §v </div><div>+optional §d </div>
33.0	keyboard	​/keyMap/	+flicks	<div>+iso §d </div>
33.0	keyboard	​/keyMap​/flicks/	+flick	<div>+directions §d </div><div>+to §v </div>
33.0	keyboard	​/layer/	+row	<div>+keys §d </div>
33.0	keyboard	​/layer/	+switch	<div>+iso §d </div><div>+layer §v </div><div>+display §v </div>
33.0	keyboard	​/layer/	+vkeys	<div>+type §d </div>
33.0	keyboard	​/layer​/vkeys/	+vkey	<div>+iso §d </div><div>+vkey §v </div><div>+modifier §v </div>
33.0	keyboard	​/reorders/	+reorder	<div>+before §d </div><div>+from §d </div><div>+after §d </div><div>+order §v </div><div>+tertiary §v </div><div>+tertiary_base §v </div><div>+prebase §v </div>
33.0	keyboard	​/transforms/	transform	<div>+before §d </div><div>+after §d </div><div>+error §v ⟨fail⟩</div>
32.0	ldml	​/characters/	exemplarCharacters	<div>type ⟨… index⟩➠⟨… index, numbers⟩</div>
32.0	supplementalData	/	+languageGroups	 
32.0	supplementalData	​/languageGroups/	+languageGroup	<div>+parent §d </div>
31.0	ldml	​/characters/	+parseLenients	<div>+scope §d ⟨general, number, date⟩</div><div>+level §d ⟨lenient, stricter⟩</div>
31.0	ldml	​/characters​/parseLenients/	+parseLenient	<div>+sample §d </div>
31.0	ldml	​/collations/	collation	<div>⊖visibility</div>
31.0	ldml	​/dates​/calendars​/calendar​/fields/	field	<div>type ⟨… zone⟩➠⟨… era-short, era-narrow, … weekOfMonth, weekOfMonth-short, weekOfMonth-narrow, … dayOfYear, dayOfYear-short, dayOfYear-narrow, … weekday-short, weekday-narrow, weekdayOfMonth, weekdayOfMonth-short, weekdayOfMonth-narrow, … dayperiod-short, dayperiod-narrow, … zone, zone-short, zone-narrow⟩</div>
31.0	ldml	​/numbers/	+minimalPairs	 
31.0	ldml	​/numbers​/minimalPairs/	+pluralMinimalPairs	<div>+count §d </div>
31.0	ldml	​/numbers​/minimalPairs/	+ordinalMinimalPairs	<div>+ordinal §d </div>
31.0	supplementalData	​/languageMatching​/languageMatches/	+paradigmLocales	<div>+locales §v </div>
31.0	supplementalData	​/languageMatching​/languageMatches/	+matchVariable	<div>+id §d </div><div>+value §v </div>
31.0	supplementalData	​/languageMatching​/languageMatches/	languageMatch	<div>+distance §v </div>
31.0	supplementalData	​/subdivisionContainment/	subgroup	<div>⊖subtype</div>
31.0	supplementalData	​/territoryInfo​/territory/	languagePopulation	<div>+literacyPercent §v </div>
31.0	ldmlBCP47	/	attribute	<div>deprecated §m︎➠§v</div>
31.0	ldmlBCP47	​/keyword/	key	<div>deprecated §m︎➠§v</div>
31.0	ldmlBCP47	​/keyword​/key/	type	<div>deprecated §m︎➠§v</div>
30.0	ldml	/	+characterLabels	 
30.0	ldml	​/annotations/	annotation	<div>⊖tts</div><div>+type §d ⟨tts⟩</div>
30.0	ldml	​/characterLabels/	+characterLabelPattern	<div>+type §d </div><div>+count §d ⟨0, 1, zero, one, two, few, many, other⟩</div>
30.0	ldml	​/characterLabels/	+characterLabel	<div>+type §d </div>
30.0	ldml	​/dates​/calendars​/calendar​/dateTimeFormats​/availableFormats/	dateFormatItem	<div>+count §d ⟨zero, one, two, few, many, other⟩</div>
30.0	ldml	​/dates​/calendars​/calendar​/fields​/field/	+relativePeriod	 
30.0	ldml	​/localeDisplayNames/	⊖transformNames	 
30.0	ldml	​/localeDisplayNames​/transformNames/	⊖transformName	<div>⊖type</div><div>⊖alt</div>
30.0	ldml	​/numbers​/symbols/	⊙currencyGroup	 
30.0	supplementalData	​/calendarData​/calendar/	calendarSystem	<div>type §d➠§v</div>
30.0	supplementalData	​/metadata/	⊖deprecated	 
30.0	supplementalData	​/metadata​/deprecated/	⊖deprecatedItems	<div>⊖type</div><div>⊖elements</div><div>⊖attributes</div><div>⊖values</div>
30.0	supplementalData	​/metadata​/validity/	variable	<div>type §d➠§v</div><div>id §v➠§d</div>
30.0	supplementalData	​/weekData/	+weekOfPreference	<div>+locales §d </div><div>+ordering §v </div>
29.0	ldml	​/collations​/collation/	import	<div>⊖source</div><div>⊖type</div>
29.0	ldml	​/collations​/collation/	settings	<div>⊖strength</div><div>⊖alternate</div><div>⊖backwards</div><div>⊖normalization</div><div>⊖caseLevel</div><div>⊖caseFirst</div><div>⊖hiraganaQuarternary</div><div>⊖hiraganaQuaternary</div><div>⊖maxVariable</div><div>⊖numeric</div><div>⊖private</div><div>⊖variableTop</div><div>⊖reorder</div>
29.0	supplementalData	/	version	<div>cldrVersion §m︎➠§v</div><div>unicodeVersion §m︎➠§v</div>
29.0	supplementalData	/	+unitPreferenceData	 
29.0	supplementalData	/	+rgScope	 
29.0	supplementalData	​/dayPeriodRuleSet​/dayPeriodRules/	dayPeriodRule	<div>at §d➠§v</div><div>⊖after</div><div>before §d➠§v</div><div>from §d➠§v</div><div>⊖to</div>
29.0	supplementalData	​/languageMatching​/languageMatches/	languageMatch	<div>desired §v➠§d</div><div>supported §v➠§d</div>
29.0	supplementalData	​/rgScope/	+rgPath	<div>+path §d </div>
29.0	supplementalData	​/timeData/	hours	<div>allowed §v➠§d</div><div>preferred §v➠§d</div><div>regions §d➠§v</div>
29.0	supplementalData	​/transforms/	transform	<div>+alias §v </div><div>+backwardAlias §v </div>
29.0	supplementalData	​/unitPreferenceData/	+unitPreferences	<div>+category §d </div><div>+usage §d </div><div>+scope §d ⟨small⟩</div>
29.0	supplementalData	​/unitPreferenceData​/unitPreferences/	+unitPreference	<div>+regions §d </div>
29.0	ldmlBCP47	/	version	<div>cldrVersion §m︎➠§v</div>
29.0	ldmlBCP47	​/keyword/	key	<div>+valueType §v ⟨single, multiple, incremental, any⟩</div>
28.0	ldml		ldml	<div>+version §m︎ </div>
28.0	ldml	/	⊖fallback	<div>⊖alt</div>
28.0	ldml	/	contextTransforms	<div>⊖validSubLocales</div>
28.0	ldml	/	delimiters	<div>⊖validSubLocales</div>
28.0	ldml	/	⊖measurement	<div>⊖alt</div><div>⊖validSubLocales</div>
28.0	ldml	/	dates	<div>⊖validSubLocales</div>
28.0	ldml	/	numbers	<div>⊖validSubLocales</div>
28.0	ldml	/	units	<div>⊖validSubLocales</div>
28.0	ldml	/	listPatterns	<div>⊖validSubLocales</div>
28.0	ldml	/	collations	<div>version §d➠§m︎</div><div>⊖validSubLocales</div>
28.0	ldml	/	posix	<div>⊖validSubLocales</div>
28.0	ldml	/	segmentations	<div>⊖validSubLocales</div>
28.0	ldml	/	⊖references	 
28.0	ldml	​/annotations/	annotation	<div>tts §d➠§v</div>
28.0	ldml	​/characters/	exemplarCharacters	<div>⊖validSubLocales</div>
28.0	ldml	​/characters/	⊖stopwords	 
28.0	ldml	​/characters/	⊖indexLabels	 
28.0	ldml	​/characters/	⊖mapping	<div>⊖registry</div><div>⊖type</div><div>⊖choice</div><div>⊖alt</div><div>⊖validSubLocales</div>
28.0	ldml	​/characters​/exemplarCharacters/	⊖cp	<div>⊖hex</div>
28.0	ldml	​/characters​/indexLabels/	⊖indexSeparator	<div>⊖alt</div>
28.0	ldml	​/characters​/indexLabels/	⊖compressedIndexSeparator	<div>⊖alt</div>
28.0	ldml	​/characters​/indexLabels/	⊖indexRangePattern	<div>⊖alt</div>
28.0	ldml	​/characters​/indexLabels/	⊖indexLabelBefore	<div>⊖alt</div>
28.0	ldml	​/characters​/indexLabels/	⊖indexLabelAfter	<div>⊖alt</div>
28.0	ldml	​/characters​/indexLabels/	⊖indexLabel	<div>⊖indexSource</div><div>⊖priority</div><div>⊖alt</div>
28.0	ldml	​/characters​/stopwords/	⊖stopwordList	<div>⊖type</div><div>⊖alt</div>
28.0	ldml	​/collations/	collation	<div>visibility §d➠§v</div><div>⊖validSubLocales</div>
28.0	ldml	​/collations​/collation/	⊖base	 
28.0	ldml	​/collations​/collation/	⊖import	<div>source §d➠§v</div>
28.0	ldml	​/collations​/collation/	⊖settings	<div>strength §d➠§v</div><div>alternate §d➠§v</div><div>backwards §d➠§v</div><div>normalization §d➠§v</div><div>caseLevel §d➠§v</div><div>caseFirst §d➠§v</div><div>hiraganaQuarternary §d➠§v</div><div>hiraganaQuaternary §d➠§v</div><div>maxVariable §d➠§v</div><div>numeric §d➠§v</div><div>private §d➠§v</div><div>variableTop §d➠§v</div><div>reorder §d➠§v</div>
28.0	ldml	​/collations​/collation/	⊖suppress_contractions	 
28.0	ldml	​/collations​/collation/	⊖optimize	 
28.0	ldml	​/collations​/collation/	⊖rules	 
28.0	ldml	​/collations​/collation​/rules/	⊖reset	<div>⊖before</div>
28.0	ldml	​/collations​/collation​/rules/	⊖p	 
28.0	ldml	​/collations​/collation​/rules/	⊖pc	 
28.0	ldml	​/collations​/collation​/rules/	⊖s	 
28.0	ldml	​/collations​/collation​/rules/	⊖sc	 
28.0	ldml	​/collations​/collation​/rules/	⊖t	 
28.0	ldml	​/collations​/collation​/rules/	⊖tc	 
28.0	ldml	​/collations​/collation​/rules/	⊖q	 
28.0	ldml	​/collations​/collation​/rules/	⊖qc	 
28.0	ldml	​/collations​/collation​/rules/	⊖i	 
28.0	ldml	​/collations​/collation​/rules/	⊖ic	 
28.0	ldml	​/collations​/collation​/rules/	⊖x	 
28.0	ldml	​/collations​/collation​/rules​/reset/	⊖first_variable	 
28.0	ldml	​/collations​/collation​/rules​/reset/	⊖last_variable	 
28.0	ldml	​/collations​/collation​/rules​/reset/	⊖first_tertiary_ignorable	 
28.0	ldml	​/collations​/collation​/rules​/reset/	⊖last_tertiary_ignorable	 
28.0	ldml	​/collations​/collation​/rules​/reset/	⊖first_secondary_ignorable	 
28.0	ldml	​/collations​/collation​/rules​/reset/	⊖last_secondary_ignorable	 
28.0	ldml	​/collations​/collation​/rules​/reset/	⊖first_primary_ignorable	 
28.0	ldml	​/collations​/collation​/rules​/reset/	⊖last_primary_ignorable	 
28.0	ldml	​/collations​/collation​/rules​/reset/	⊖first_non_ignorable	 
28.0	ldml	​/collations​/collation​/rules​/reset/	⊖last_non_ignorable	 
28.0	ldml	​/collations​/collation​/rules​/reset/	⊖first_trailing	 
28.0	ldml	​/collations​/collation​/rules​/reset/	⊖last_trailing	 
28.0	ldml	​/collations​/collation​/rules​/x/	⊖context	 
28.0	ldml	​/collations​/collation​/rules​/x/	⊖extend	 
28.0	ldml	​/contextTransforms/	contextTransformUsage	<div>⊖validSubLocales</div>
28.0	ldml	​/dates/	⊖localizedPatternChars	<div>⊖alt</div><div>⊖validSubLocales</div>
28.0	ldml	​/dates/	⊖dateRangePattern	<div>⊖alt</div><div>⊖validSubLocales</div>
28.0	ldml	​/dates/	calendars	<div>⊖validSubLocales</div>
28.0	ldml	​/dates/	timeZoneNames	<div>⊖validSubLocales</div>
28.0	ldml	​/dates​/calendars/	⊖default	<div>⊖type</div><div>⊖choice</div><div>⊖alt</div>
28.0	ldml	​/dates​/calendars/	calendar	<div>⊖validSubLocales</div>
28.0	ldml	​/dates​/calendars​/calendar/	months	<div>⊖validSubLocales</div>
28.0	ldml	​/dates​/calendars​/calendar/	⊖monthNames	 
28.0	ldml	​/dates​/calendars​/calendar/	⊖monthAbbr	 
28.0	ldml	​/dates​/calendars​/calendar/	monthPatterns	<div>⊖validSubLocales</div>
28.0	ldml	​/dates​/calendars​/calendar/	days	<div>⊖validSubLocales</div>
28.0	ldml	​/dates​/calendars​/calendar/	⊖dayNames	 
28.0	ldml	​/dates​/calendars​/calendar/	⊖dayAbbr	 
28.0	ldml	​/dates​/calendars​/calendar/	quarters	<div>⊖validSubLocales</div>
28.0	ldml	​/dates​/calendars​/calendar/	⊖week	<div>⊖alt</div><div>⊖validSubLocales</div>
28.0	ldml	​/dates​/calendars​/calendar/	⊖am	<div>⊖alt</div><div>⊖validSubLocales</div>
28.0	ldml	​/dates​/calendars​/calendar/	⊖pm	<div>⊖alt</div><div>⊖validSubLocales</div>
