#LCode	English Name	Script	Locale Level	Path Level	STStatus	Bailey	Section	Page	Header	Code	ST Link
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-fullwide-core	https://st.unicode.org/v#/sr_Latn//7a4aeba9b7cca8e5
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-greklow-core	https://st.unicode.org/v#/sr_Latn//5c06f60b3ebf5b6e
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-hanidays-core	https://st.unicode.org/v#/sr_Latn//2c39a2cfaef04ff
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-hanidec-core	https://st.unicode.org/v#/sr_Latn//6e496295ca0a34c2
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-hansfin-core	https://st.unicode.org/v#/sr_Latn//79d80c71dcc2dbf2
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-hantfin-core	https://st.unicode.org/v#/sr_Latn//7ebb38dd69628beb
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-jpanfin-core	https://st.unicode.org/v#/sr_Latn//5834f38d354e5eae
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-jpanyear-core	https://st.unicode.org/v#/sr_Latn//315c7532109cbe2
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-lanatham-core	https://st.unicode.org/v#/sr_Latn//19e473cca5c3210e
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-mathbold-core	https://st.unicode.org/v#/sr_Latn//690c42a9df071dfc
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-mathdbl-core	https://st.unicode.org/v#/sr_Latn//6bcb163dd054f3b
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-mathmono-core	https://st.unicode.org/v#/sr_Latn//4d47a97baaa18c22
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-mathsanb-core	https://st.unicode.org/v#/sr_Latn//602d5ce486ed2591
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-mathsans-core	https://st.unicode.org/v#/sr_Latn//5a33adb82bbda30a
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-mymrepka-core	https://st.unicode.org/v#/sr_Latn//13d692f2518df8ce
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-mymrpao-core	https://st.unicode.org/v#/sr_Latn//5cbe2c9b2dff4db6
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-mymrshan-core	https://st.unicode.org/v#/sr_Latn//184e22812104840b
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-mymrtlng-core	https://st.unicode.org/v#/sr_Latn//6d3dc1e6c17d70da
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-native-core	https://st.unicode.org/v#/sr_Latn//565bfe1a8daf9fab
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-outlined-core	https://st.unicode.org/v#/sr_Latn//1a1e2deea8e08ddc
