# Grammatical Features
#Locale	ID	Feature	Usage	Values
Armenian	hy	grammaticalCase	general	nominative, locative, dative, instrumental, ablative

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
consumption	liters per 100 kilometers	nominative	{0} լիտր 100 կիլոմետրի վրա	Մնացել է 1 լիտր 100 կիլոմետրի վրա	{0} լիտր 100 կիլոմետրի վրա	Մնացել է 3 լիտր 100 կիլոմետրի վրա
consumption	liters per 100 kilometers	locative	{0} լիտրում 100 կիլոմետրի վրա	Երկրի պտույտը 1 լիտրում 100 կիլոմետրի վրա	{0} լիտրում 100 կիլոմետրի վրա	Երկրի պտույտը 3 լիտրում 100 կիլոմետրի վրա
consumption	liters per 100 kilometers	dative	{0} լիտրին 100 կիլոմետրի վրա	Սպասում եմ այդ 1 լիտրին 100 կիլոմետրի վրա	{0} լիտրին 100 կիլոմետրի վրա	Սպասում եմ այդ 3 լիտրին 100 կիլոմետրի վրա
consumption	liters per 100 kilometers	instrumental	{0} լիտրով 100 կիլոմետրի վրա	Հպարտանում եմ այդ 1 լիտրով 100 կիլոմետրի վրա	{0} լիտրով 100 կիլոմետրի վրա	Հպարտանում եմ այդ 3 լիտրով 100 կիլոմետրի վրա
consumption	liters per 100 kilometers	ablative	{0} լիտրից 100 կիլոմետրի վրա	Վախենում եմ այդ 1 լիտրից 100 կիլոմետրի վրա	{0} լիտրից 100 կիլոմետրի վրա	Վախենում եմ այդ 3 լիտրից 100 կիլոմետրի վրա
consumption	liters per kilometer	nominative	{0} լիտր կիլոմետրի վրա	Մնացել է 1 լիտր կիլոմետրի վրա	{0} լիտր կիլոմետրի վրա	Մնացել է 3 լիտր կիլոմետրի վրա
consumption	liters per kilometer	locative	{0} լիտրում կիլոմետրի վրա	Երկրի պտույտը 1 լիտրում կիլոմետրի վրա	{0} լիտրում կիլոմետրի վրա	Երկրի պտույտը 3 լիտրում կիլոմետրի վրա
consumption	liters per kilometer	dative	{0} լիտրին կիլոմետրի վրա	Սպասում եմ այդ 1 լիտրին կիլոմետրի վրա	{0} լիտրին կիլոմետրի վրա	Սպասում եմ այդ 3 լիտրին կիլոմետրի վրա
consumption	liters per kilometer	instrumental	{0} լիտրով կիլոմետրի վրա	Հպարտանում եմ այդ 1 լիտրով կիլոմետրի վրա	{0} լիտրով կիլոմետրի վրա	Հպարտանում եմ այդ 3 լիտրով կիլոմետրի վրա
consumption	liters per kilometer	ablative	{0} լիտրից կիլոմետրի վրա	Վախենում եմ այդ 1 լիտրից կիլոմետրի վրա	{0} լիտրից կիլոմետրի վրա	Վախենում եմ այդ 3 լիտրից կիլոմետրի վրա
digital	bits	nominative	{0} բիթ	Մնացել է 1 բիթ	{0} բիթ	Մնացել է 3 բիթ
digital	bits	locative	{0} բիթում	Երկրի պտույտը 1 բիթում	{0} բիթում	Երկրի պտույտը 3 բիթում
digital	bits	dative	{0} բիթին	Սպասում եմ այդ 1 բիթին	{0} բիթին	Սպասում եմ այդ 3 բիթին
digital	bits	instrumental	{0} բիթով	Հպարտանում եմ այդ 1 բիթով	{0} բիթով	Հպարտանում եմ այդ 3 բիթով
digital	bits	ablative	{0} բիթից	Վախենում եմ այդ 1 բիթից	{0} բիթից	Վախենում եմ այդ 3 բիթից
digital	byte • ( = 8 bit)	nominative	{0} բայթ	Մնացել է 1 բայթ	{0} բայթ	Մնացել է 3 բայթ
digital	byte • ( = 8 bit)	locative	{0} բայթում	Երկրի պտույտը 1 բայթում	{0} բայթում	Երկրի պտույտը 3 բայթում
digital	byte • ( = 8 bit)	dative	{0} բայթին	Սպասում եմ այդ 1 բայթին	{0} բայթին	Սպասում եմ այդ 3 բայթին
digital	byte • ( = 8 bit)	instrumental	{0} բայթով	Հպարտանում եմ այդ 1 բայթով	{0} բայթով	Հպարտանում եմ այդ 3 բայթով
digital	byte • ( = 8 bit)	ablative	{0} բայթից	Վախենում եմ այդ 1 բայթից	{0} բայթից	Վախենում եմ այդ 3 բայթից
digital	kilobits	nominative	{0} կիլոբիթ	Մնացել է 1 կիլոբիթ	{0} կիլոբիթ	Մնացել է 3 կիլոբիթ
digital	kilobits	locative	{0} կիլոբիթում	Երկրի պտույտը 1 կիլոբիթում	{0} կիլոբիթում	Երկրի պտույտը 3 կիլոբիթում
digital	kilobits	dative	{0} կիլոբիթին	Սպասում եմ այդ 1 կիլոբիթին	{0} կիլոբիթին	Սպասում եմ այդ 3 կիլոբիթին
digital	kilobits	instrumental	{0} կիլոբիթով	Հպարտանում եմ այդ 1 կիլոբիթով	{0} կիլոբիթով	Հպարտանում եմ այդ 3 կիլոբիթով
digital	kilobits	ablative	{0} կիլոբիթից	Վախենում եմ այդ 1 կիլոբիթից	{0} կիլոբիթից	Վախենում եմ այդ 3 կիլոբիթից
digital	kilobyte • ( = 8 kb)	nominative	{0} կիլոբայթ	Մնացել է 1 կիլոբայթ	{0} կիլոբայթ	Մնացել է 3 կիլոբայթ
digital	kilobyte • ( = 8 kb)	locative	{0} կիլոբայթում	Երկրի պտույտը 1 կիլոբայթում	{0} կիլոբայթում	Երկրի պտույտը 3 կիլոբայթում
digital	kilobyte • ( = 8 kb)	dative	{0} կիլոբայթին	Սպասում եմ այդ 1 կիլոբայթին	{0} կիլոբայթին	Սպասում եմ այդ 3 կիլոբայթին
digital	kilobyte • ( = 8 kb)	instrumental	{0} կիլոբայթով	Հպարտանում եմ այդ 1 կիլոբայթով	{0} կիլոբայթով	Հպարտանում եմ այդ 3 կիլոբայթով
digital	kilobyte • ( = 8 kb)	ablative	{0} կիլոբայթից	Վախենում եմ այդ 1 կիլոբայթից	{0} կիլոբայթից	Վախենում եմ այդ 3 կիլոբայթից
digital	megabits	nominative	{0} մեգաբիթ	Մնացել է 1 մեգաբիթ	{0} մեգաբիթ	Մնացել է 3 մեգաբիթ
digital	megabits	locative	{0} մեգաբիթում	Երկրի պտույտը 1 մեգաբիթում	{0} մեգաբիթում	Երկրի պտույտը 3 մեգաբիթում
digital	megabits	dative	{0} մեգաբիթին	Սպասում եմ այդ 1 մեգաբիթին	{0} մեգաբիթին	Սպասում եմ այդ 3 մեգաբիթին
digital	megabits	instrumental	{0} մեգաբիթով	Հպարտանում եմ այդ 1 մեգաբիթով	{0} մեգաբիթով	Հպարտանում եմ այդ 3 մեգաբիթով
digital	megabits	ablative	{0} մեգաբիթից	Վախենում եմ այդ 1 մեգաբիթից	{0} մեգաբիթից	Վախենում եմ այդ 3 մեգաբիթից
digital	megabyte • ( = 8 Mb)	nominative	{0} մեգաբայթ	Մնացել է 1 մեգաբայթ	{0} մեգաբայթ	Մնացել է 3 մեգաբայթ
digital	megabyte • ( = 8 Mb)	locative	{0} մեգաբայթում	Երկրի պտույտը 1 մեգաբայթում	{0} մեգաբայթում	Երկրի պտույտը 3 մեգաբայթում
digital	megabyte • ( = 8 Mb)	dative	{0} մեգաբայթին	Սպասում եմ այդ 1 մեգաբայթին	{0} մեգաբայթին	Սպասում եմ այդ 3 մեգաբայթին
digital	megabyte • ( = 8 Mb)	instrumental	{0} մեգաբայթով	Հպարտանում եմ այդ 1 մեգաբայթով	{0} մեգաբայթով	Հպարտանում եմ այդ 3 մեգաբայթով
digital	megabyte • ( = 8 Mb)	ablative	{0} մեգաբայթից	Վախենում եմ այդ 1 մեգաբայթից	{0} մեգաբայթից	Վախենում եմ այդ 3 մեգաբայթից
digital	gigabits	nominative	{0} գիգաբիթ	Մնացել է 1 գիգաբիթ	{0} գիգաբիթ	Մնացել է 3 գիգաբիթ
digital	gigabits	locative	{0} գիգաբիթում	Երկրի պտույտը 1 գիգաբիթում	{0} գիգաբիթում	Երկրի պտույտը 3 գիգաբիթում
digital	gigabits	dative	{0} գիգաբիթին	Սպասում եմ այդ 1 գիգաբիթին	{0} գիգաբիթին	Սպասում եմ այդ 3 գիգաբիթին
digital	gigabits	instrumental	{0} գիգաբիթով	Հպարտանում եմ այդ 1 գիգաբիթով	{0} գիգաբիթով	Հպարտանում եմ այդ 3 գիգաբիթով
digital	gigabits	ablative	{0} գիգաբիթից	Վախենում եմ այդ 1 գիգաբիթից	{0} գիգաբիթից	Վախենում եմ այդ 3 գիգաբիթից
digital	gigabyte • ( = 8 Gb)	nominative	{0} գիգաբայթ	Մնացել է 1 գիգաբայթ	{0} գիգաբայթ	Մնացել է 3 գիգաբայթ
digital	gigabyte • ( = 8 Gb)	locative	{0} գիգաբայթում	Երկրի պտույտը 1 գիգաբայթում	{0} գիգաբայթում	Երկրի պտույտը 3 գիգաբայթում
digital	gigabyte • ( = 8 Gb)	dative	{0} գիգաբայթին	Սպասում եմ այդ 1 գիգաբայթին	{0} գիգաբայթին	Սպասում եմ այդ 3 գիգաբայթին
digital	gigabyte • ( = 8 Gb)	instrumental	{0} գիգաբայթով	Հպարտանում եմ այդ 1 գիգաբայթով	{0} գիգաբայթով	Հպարտանում եմ այդ 3 գիգաբայթով
digital	gigabyte • ( = 8 Gb)	ablative	{0} գիգաբայթից	Վախենում եմ այդ 1 գիգաբայթից	{0} գիգաբայթից	Վախենում եմ այդ 3 գիգաբայթից
digital	terabits	nominative	{0} տերաբիթ	Մնացել է 1 տերաբիթ	{0} տերաբիթ	Մնացել է 3 տերաբիթ
digital	terabits	locative	{0} տերաբիթում	Երկրի պտույտը 1 տերաբիթում	{0} տերաբիթում	Երկրի պտույտը 3 տերաբիթում
digital	terabits	dative	{0} տերաբիթին	Սպասում եմ այդ 1 տերաբիթին	{0} տերաբիթին	Սպասում եմ այդ 3 տերաբիթին
digital	terabits	instrumental	{0} տերաբիթով	Հպարտանում եմ այդ 1 տերաբիթով	{0} տերաբիթով	Հպարտանում եմ այդ 3 տերաբիթով
digital	terabits	ablative	{0} տերաբիթից	Վախենում եմ այդ 1 տերաբիթից	{0} տերաբիթից	Վախենում եմ այդ 3 տերաբիթից
digital	terabyte • ( = 8 Tb)	nominative	{0} տերաբայթ	Մնացել է 1 տերաբայթ	{0} տերաբայթ	Մնացել է 3 տերաբայթ
digital	terabyte • ( = 8 Tb)	locative	{0} տերաբայթում	Երկրի պտույտը 1 տերաբայթում	{0} տերաբայթում	Երկրի պտույտը 3 տերաբայթում
digital	terabyte • ( = 8 Tb)	dative	{0} տերաբայթին	Սպասում եմ այդ 1 տերաբայթին	{0} տերաբայթին	Սպասում եմ այդ 3 տերաբայթին
digital	terabyte • ( = 8 Tb)	instrumental	{0} տերաբայթով	Հպարտանում եմ այդ 1 տերաբայթով	{0} տերաբայթով	Հպարտանում եմ այդ 3 տերաբայթով
digital	terabyte • ( = 8 Tb)	ablative	{0} տերաբայթից	Վախենում եմ այդ 1 տերաբայթից	{0} տերաբայթից	Վախենում եմ այդ 3 տերաբայթից
digital	petabyte • ( = 8,000 Tb)	nominative	{0} պետաբայթ	Մնացել է 1 պետաբայթ	{0} պետաբայթ	Մնացել է 3 պետաբայթ
digital	petabyte • ( = 8,000 Tb)	locative	{0} պետաբայթում	Երկրի պտույտը 1 պետաբայթում	{0} պետաբայթում	Երկրի պտույտը 3 պետաբայթում
digital	petabyte • ( = 8,000 Tb)	dative	{0} պետաբայթին	Սպասում եմ այդ 1 պետաբայթին	{0} պետաբայթին	Սպասում եմ այդ 3 պետաբայթին
digital	petabyte • ( = 8,000 Tb)	instrumental	{0} պետաբայթով	Հպարտանում եմ այդ 1 պետաբայթով	{0} պետաբայթով	Հպարտանում եմ այդ 3 պետաբայթով
digital	petabyte • ( = 8,000 Tb)	ablative	{0} պետաբայթից	Վախենում եմ այդ 1 պետաբայթից	{0} պետաբայթից	Վախենում եմ այդ 3 պետաբայթից
duration	nanoseconds	nominative	{0} նանովայրկյան	Մնացել է 1 նանովայրկյան	{0} նանովայրկյան	Մնացել է 3 նանովայրկյան
duration	nanoseconds	locative	{0} նանովայրկյանում	Երկրի պտույտը 1 նանովայրկյանում	{0} նանովայրկյանում	Երկրի պտույտը 3 նանովայրկյանում
duration	nanoseconds	dative	{0} նանովայրկյանին	Սպասում եմ այդ 1 նանովայրկյանին	{0} նանովայրկյանին	Սպասում եմ այդ 3 նանովայրկյանին
duration	nanoseconds	instrumental	{0} նանովայրկյանով	Հպարտանում եմ այդ 1 նանովայրկյանով	{0} նանովայրկյանով	Հպարտանում եմ այդ 3 նանովայրկյանով
duration	nanoseconds	ablative	{0} նանովայրկյանից	Վախենում եմ այդ 1 նանովայրկյանից	{0} նանովայրկյանից	Վախենում եմ այդ 3 նանովայրկյանից
duration	microseconds	nominative	{0} միկրովայրկյան	Մնացել է 1 միկրովայրկյան	{0} միկրովայրկյան	Մնացել է 3 միկրովայրկյան
duration	microseconds	locative	{0} միկրովայրկյանում	Երկրի պտույտը 1 միկրովայրկյանում	{0} միկրովայրկյանում	Երկրի պտույտը 3 միկրովայրկյանում
duration	microseconds	dative	{0} միկրովայրկյանին	Սպասում եմ այդ 1 միկրովայրկյանին	{0} միկրովայրկյանին	Սպասում եմ այդ 3 միկրովայրկյանին
duration	microseconds	instrumental	{0} միկրովայրկյանով	Հպարտանում եմ այդ 1 միկրովայրկյանով	{0} միկրովայրկյանով	Հպարտանում եմ այդ 3 միկրովայրկյանով
duration	microseconds	ablative	{0} միկրովայրկյանից	Վախենում եմ այդ 1 միկրովայրկյանից	{0} միկրովայրկյանից	Վախենում եմ այդ 3 միկրովայրկյանից
duration	milliseconds	nominative	{0} միլիվայրկյան	Մնացել է 1 միլիվայրկյան	{0} միլիվայրկյան	Մնացել է 3 միլիվայրկյան
duration	milliseconds	locative	{0} միլիվայրկյանում	Երկրի պտույտը 1 միլիվայրկյանում	{0} միլիվայրկյանում	Երկրի պտույտը 3 միլիվայրկյանում
duration	milliseconds	dative	{0} միլիվայրկյանին	Սպասում եմ այդ 1 միլիվայրկյանին	{0} միլիվայրկյանին	Սպասում եմ այդ 3 միլիվայրկյանին
duration	milliseconds	instrumental	{0} միլիվայրկյանով	Հպարտանում եմ այդ 1 միլիվայրկյանով	{0} միլիվայրկյանով	Հպարտանում եմ այդ 3 միլիվայրկյանով
duration	milliseconds	ablative	{0} միլիվայրկյանից	Վախենում եմ այդ 1 միլիվայրկյանից	{0} միլիվայրկյանից	Վախենում եմ այդ 3 միլիվայրկյանից
duration	seconds	nominative	{0} վայրկյան	Մնացել է 1 վայրկյան	{0} վայրկյան	Մնացել է 3 վայրկյան
