# Grammatical Features
#Locale	ID	Feature	Usage	Values
Danish	da	grammaticalCase	general	nominative, genitive
Danish	da	grammaticalDefiniteness	general	unspecified, indefinite, definite
Danish	da	grammaticalGender	general	common, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} dag	<div class='cldr_example'><span class='cldr_substituted'>1</span> dag</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> dag</div>
Plural	other	{0} dage	<div class='cldr_example'><span class='cldr_substituted'>2</span> dage</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> dage</div>
Case (for measurement units)	nominative	Jeg tror, ​​at {0} er nok.	<div class='cldr_example'>Jeg tror, ​​at <span class='cldr_substituted'>1 århundrede</span> er nok.</div><div class='cldr_example'>❌  Jeg tror, ​​at <span class='cldr_substituted'>2 århundreders</span> er nok.</div>
Case (for measurement units)	genitive	Med {0} mellemrum	<div class='cldr_example'>Med <span class='cldr_substituted'>2 århundreders</span> mellemrum</div><div class='cldr_example'>❌  Med <span class='cldr_substituted'>1 århundrede</span> mellemrum</div>
Gender (for measurement units)	common	En {0}	<div class='cldr_example'>En <span class='cldr_substituted'>centimeter</span></div><div class='cldr_example'>❌  En <span class='cldr_substituted'>århundrede</span></div>
Gender (for measurement units)	neuter	Et {0}	<div class='cldr_example'>Et <span class='cldr_substituted'>århundrede</span></div><div class='cldr_example'>❌  Et <span class='cldr_substituted'>centimeter</span></div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for other	Case MP + pattern with 2.0
digital	kilobits	common	En kilobit	nominative	{0} kilobit	Jeg tror, ​​at 1 kilobit er nok.	{0} kilobit	Jeg tror, ​​at 2 kilobit er nok.
digital	kilobits	common	En kilobit	genitive	{0} kilobits	Med 1 kilobits mellemrum	{0} kilobits	Med 2 kilobits mellemrum
digital	kilobyte • ( = 8 kb)	common	En kilobyte	nominative	{0} kilobyte	Jeg tror, ​​at 1 kilobyte er nok.	{0} kilobytes	Jeg tror, ​​at 2 kilobytes er nok.
digital	kilobyte • ( = 8 kb)	common	En kilobyte	genitive	{0} kilobytes	Med 1 kilobytes mellemrum	{0} kilobytes′	Med 2 kilobytes′ mellemrum
digital	megabits	common	En megabit	nominative	{0} megabit	Jeg tror, ​​at 1 megabit er nok.	{0} megabit	Jeg tror, ​​at 2 megabit er nok.
digital	megabits	common	En megabit	genitive	{0} megabits	Med 1 megabits mellemrum	{0} megabits	Med 2 megabits mellemrum
digital	megabyte • ( = 8 Mb)	common	En megabyte	nominative	{0} megabyte	Jeg tror, ​​at 1 megabyte er nok.	{0} megabytes	Jeg tror, ​​at 2 megabytes er nok.
digital	megabyte • ( = 8 Mb)	common	En megabyte	genitive	{0} megabytes	Med 1 megabytes mellemrum	{0} megabytes′	Med 2 megabytes′ mellemrum
digital	gigabits	common	En gigabit	nominative	{0} gigabit	Jeg tror, ​​at 1 gigabit er nok.	{0} gigabit	Jeg tror, ​​at 2 gigabit er nok.
digital	gigabits	common	En gigabit	genitive	{0} gigabits	Med 1 gigabits mellemrum	{0} gigabits	Med 2 gigabits mellemrum
digital	gigabyte • ( = 8 Gb)	common	En gigabyte	nominative	{0} gigabyte	Jeg tror, ​​at 1 gigabyte er nok.	{0} gigabytes	Jeg tror, ​​at 2 gigabytes er nok.
digital	gigabyte • ( = 8 Gb)	common	En gigabyte	genitive	{0} gigabytes	Med 1 gigabytes mellemrum	{0} gigabytes′	Med 2 gigabytes′ mellemrum
digital	terabits	common	En terabit	nominative	{0} terabit	Jeg tror, ​​at 1 terabit er nok.	{0} terabit	Jeg tror, ​​at 2 terabit er nok.
digital	terabits	common	En terabit	genitive	{0} terabits	Med 1 terabits mellemrum	{0} terabits	Med 2 terabits mellemrum
digital	terabyte • ( = 8 Tb)	common	En terabyte	nominative	{0} terabyte	Jeg tror, ​​at 1 terabyte er nok.	{0} terabytes	Jeg tror, ​​at 2 terabytes er nok.
digital	terabyte • ( = 8 Tb)	common	En terabyte	genitive	{0} terabytes	Med 1 terabytes mellemrum	{0} terabytes′	Med 2 terabytes′ mellemrum
digital	petabyte • ( = 8,000 Tb)	common	En petabyte	nominative	{0} petabyte	Jeg tror, ​​at 1 petabyte er nok.	{0} petabytes	Jeg tror, ​​at 2 petabytes er nok.
digital	petabyte • ( = 8,000 Tb)	common	En petabyte	genitive	{0} petabytes	Med 1 petabytes mellemrum	{0} petabytes′	Med 2 petabytes′ mellemrum
duration	nanoseconds	neuter	Et nanosekund	nominative	{0} nanosekund	Jeg tror, ​​at 1 nanosekund er nok.	{0} nanosekunder	Jeg tror, ​​at 2 nanosekunder er nok.
duration	nanoseconds	neuter	Et nanosekund	genitive	{0} nanosekunds	Med 1 nanosekunds mellemrum	{0} nanosekunders	Med 2 nanosekunders mellemrum
duration	microseconds	neuter	Et mikrosekund	nominative	{0} mikrosekund	Jeg tror, ​​at 1 mikrosekund er nok.	{0} mikrosekunder	Jeg tror, ​​at 2 mikrosekunder er nok.
duration	microseconds	neuter	Et mikrosekund	genitive	{0} mikrosekunds	Med 1 mikrosekunds mellemrum	{0} mikrosekunders	Med 2 mikrosekunders mellemrum
duration	milliseconds	neuter	Et millisekund	nominative	{0} millisekund	Jeg tror, ​​at 1 millisekund er nok.	{0} millisekunder	Jeg tror, ​​at 2 millisekunder er nok.
duration	milliseconds	neuter	Et millisekund	genitive	{0} millisekunds	Med 1 millisekunds mellemrum	{0} millisekunders	Med 2 millisekunders mellemrum
duration	seconds	neuter	Et sekund	nominative	{0} sekund	Jeg tror, ​​at 1 sekund er nok.	{0} sekunder	Jeg tror, ​​at 2 sekunder er nok.
duration	seconds	neuter	Et sekund	genitive	{0} sekunds	Med 1 sekunds mellemrum	{0} sekunders	Med 2 sekunders mellemrum
