# Count	Section	Page	Subhead	Code

133	Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxslp
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxson
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxtab
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxtam
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxtla
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxver
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxyuc
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxzac
15	Locale Display Names	Territories (North America)	Caribbean-Subdivisions	bqbo
15	Locale Display Names	Territories (North America)	Caribbean-Subdivisions	bqsa
15	Locale Display Names	Territories (North America)	Caribbean-Subdivisions	bqse
15	Locale Display Names	Territories (North America)	Caribbean-Subdivisions	ttpos
15	Locale Display Names	Territories (North America)	Caribbean-Subdivisions	tttob
15	Locale Display Names	Territories (South America)	South America-Subdivisions	ara
15	Locale Display Names	Territories (South America)	South America-Subdivisions	arb
15	Locale Display Names	Territories (South America)	South America-Subdivisions	arc
15	Locale Display Names	Territories (South America)	South America-Subdivisions	ard
15	Locale Display Names	Territories (South America)	South America-Subdivisions	are
15	Locale Display Names	Territories (South America)	South America-Subdivisions	arf
15	Locale Display Names	Territories (South America)	South America-Subdivisions	arg
15	Locale Display Names	Territories (South America)	South America-Subdivisions	arh
15	Locale Display Names	Territories (South America)	South America-Subdivisions	arj
15	Locale Display Names	Territories (South America)	South America-Subdivisions	ark
15	Locale Display Names	Territories (South America)	South America-Subdivisions	arl
15	Locale Display Names	Territories (South America)	South America-Subdivisions	arm
15	Locale Display Names	Territories (South America)	South America-Subdivisions	arn
15	Locale Display Names	Territories (South America)	South America-Subdivisions	arp
15	Locale Display Names	Territories (South America)	South America-Subdivisions	arq
15	Locale Display Names	Territories (South America)	South America-Subdivisions	arr
15	Locale Display Names	Territories (South America)	South America-Subdivisions	ars
15	Locale Display Names	Territories (South America)	South America-Subdivisions	art
15	Locale Display Names	Territories (South America)	South America-Subdivisions	aru
15	Locale Display Names	Territories (South America)	South America-Subdivisions	arv
15	Locale Display Names	Territories (South America)	South America-Subdivisions	arw
15	Locale Display Names	Territories (South America)	South America-Subdivisions	arx
15	Locale Display Names	Territories (South America)	South America-Subdivisions	ary
15	Locale Display Names	Territories (South America)	South America-Subdivisions	arz
15	Locale Display Names	Territories (South America)	South America-Subdivisions	bob
15	Locale Display Names	Territories (South America)	South America-Subdivisions	boc
15	Locale Display Names	Territories (South America)	South America-Subdivisions	boh
15	Locale Display Names	Territories (South America)	South America-Subdivisions	bol
15	Locale Display Names	Territories (South America)	South America-Subdivisions	bon
15	Locale Display Names	Territories (South America)	South America-Subdivisions	boo
15	Locale Display Names	Territories (South America)	South America-Subdivisions	bop
15	Locale Display Names	Territories (South America)	South America-Subdivisions	bos
15	Locale Display Names	Territories (South America)	South America-Subdivisions	bot
15	Locale Display Names	Territories (South America)	South America-Subdivisions	brac
15	Locale Display Names	Territories (South America)	South America-Subdivisions	bral
15	Locale Display Names	Territories (South America)	South America-Subdivisions	bram
15	Locale Display Names	Territories (South America)	South America-Subdivisions	brba
15	Locale Display Names	Territories (South America)	South America-Subdivisions	brce
15	Locale Display Names	Territories (South America)	South America-Subdivisions	brdf
15	Locale Display Names	Territories (South America)	South America-Subdivisions	bres
15	Locale Display Names	Territories (South America)	South America-Subdivisions	brgo
15	Locale Display Names	Territories (South America)	South America-Subdivisions	brma
15	Locale Display Names	Territories (South America)	South America-Subdivisions	brmg
15	Locale Display Names	Territories (South America)	South America-Subdivisions	brms
15	Locale Display Names	Territories (South America)	South America-Subdivisions	brmt
15	Locale Display Names	Territories (South America)	South America-Subdivisions	brpb
15	Locale Display Names	Territories (South America)	South America-Subdivisions	brpe
15	Locale Display Names	Territories (South America)	South America-Subdivisions	brpi
15	Locale Display Names	Territories (South America)	South America-Subdivisions	brpr
