#Locale	Prov.	Unconf.	Missing	Path*
an	0	0	1	//ldml/localeDisplayNames/scripts/script[@type='*']
an	0	0	1	//ldml/localeDisplayNames/territories/territory[@type='*']
an	0	0	1	//ldml/numbers/currencyFormats[@numberSystem='*']/currencyFormatLength/currencyFormat[@type='*']/pattern[@type='*']
an	0	0	1	//ldml/numbers/decimalFormats[@numberSystem='*']/decimalFormatLength/decimalFormat[@type='*']/pattern[@type='*']
an	0	0	1	//ldml/numbers/defaultNumberingSystem
an	0	0	1	//ldml/numbers/otherNumberingSystems/native
an	0	0	1	//ldml/numbers/percentFormats[@numberSystem='*']/percentFormatLength/percentFormat[@type='*']/pattern[@type='*']
an	0	0	1	//ldml/numbers/scientificFormats[@numberSystem='*']/scientificFormatLength/scientificFormat[@type='*']/pattern[@type='*']
an	0	0	1	//ldml/numbers/symbols[@numberSystem='*']/decimal
an	0	0	1	//ldml/numbers/symbols[@numberSystem='*']/group
an	0	0	1	//ldml/numbers/symbols[@numberSystem='*']/minusSign
an	0	0	1	//ldml/numbers/symbols[@numberSystem='*']/percentSign
an	0	0	1	//ldml/numbers/symbols[@numberSystem='*']/plusSign
an	0	0	64	Totals
				
ann	8	0	0	//ldml/dates/calendars/calendar[@type='*']/dateTimeFormats/availableFormats/dateFormatItem[@id='*']
ann	1	0	0	//ldml/dates/calendars/calendar[@type='*']/dateTimeFormats/intervalFormats/intervalFormatFallback
ann	2	0	0	//ldml/dates/calendars/calendar[@type='*']/dayPeriods/dayPeriodContext[@type='*']/dayPeriodWidth[@type='*']/dayPeriod[@type='*']
ann	7	0	0	//ldml/dates/calendars/calendar[@type='*']/days/dayContext[@type='*']/dayWidth[@type='*']/day[@type='*']
ann	12	0	0	//ldml/dates/calendars/calendar[@type='*']/months/monthContext[@type='*']/monthWidth[@type='*']/month[@type='*']
ann	1	0	0	//ldml/dates/timeZoneNames/fallbackFormat
ann	1	0	0	//ldml/dates/timeZoneNames/gmtFormat
ann	1	0	0	//ldml/dates/timeZoneNames/gmtZeroFormat
ann	1	0	0	//ldml/dates/timeZoneNames/hourFormat
ann	1	0	0	//ldml/dates/timeZoneNames/metazone[@type='*']/long/standard
ann	1	0	0	//ldml/dates/timeZoneNames/regionFormat
ann	2	0	0	//ldml/dates/timeZoneNames/regionFormat[@type='*']
ann	1	0	0	//ldml/delimiters/alternateQuotationEnd
ann	1	0	0	//ldml/delimiters/alternateQuotationStart
ann	1	0	0	//ldml/delimiters/quotationEnd
ann	1	0	0	//ldml/delimiters/quotationStart
ann	3	0	0	//ldml/localeDisplayNames/codePatterns/codePattern[@type='*']
ann	1	0	0	//ldml/localeDisplayNames/languages/language[@type='*']
ann	3	0	0	//ldml/localeDisplayNames/measurementSystemNames/measurementSystemName[@type='*']
ann	1	0	0	//ldml/localeDisplayNames/scripts/script[@type='*']
ann	2	0	0	//ldml/localeDisplayNames/territories/territory[@type='*']
ann	1	0	0	//ldml/numbers/currencyFormats[@numberSystem='*']/currencyFormatLength/currencyFormat[@type='*']/pattern[@type='*']
ann	1	0	0	//ldml/numbers/decimalFormats[@numberSystem='*']/decimalFormatLength/decimalFormat[@type='*']/pattern[@type='*']
